LECROYWS454	16215	Waveform
Segments	1	SegmentSize	1002
Segment	TrigTime	TimeSinceSegment1
#1	16-Sep-2022 11:15:48	0                 
Time	Ampl
-1.08009e-007	0.005
-1.07509e-007	0.005
-1.07009e-007	0.005
-1.06509e-007	0.03625
-1.06009e-007	-0.0575
-1.05509e-007	-0.0575
-1.05009e-007	0.005
-1.04509e-007	0.005
-1.04009e-007	-0.0575
-1.03509e-007	0.005
-1.03009e-007	0.005
-1.02509e-007	-0.02625
-1.02009e-007	0.005
-1.01509e-007	0.005
-1.01009e-007	0.005
-1.00509e-007	0.005
-1.00009e-007	-0.02625
-9.9509e-008	-0.02625
-9.9009e-008	0.005
-9.8509e-008	0.03625
-9.8009e-008	-0.02625
-9.7509e-008	0.005
-9.7009e-008	0.005
-9.6509e-008	0.005
-9.6009e-008	-0.0575
-9.5509e-008	0.005
-9.5009e-008	0.03625
-9.4509e-008	0.005
-9.4009e-008	-0.02625
-9.3509e-008	0.005
-9.3009e-008	0.005
-9.2509e-008	0.005
-9.2009e-008	0.005
-9.1509e-008	0.005
-9.1009e-008	0.005
-9.0509e-008	0.03625
-9.0009e-008	0.005
-8.9509e-008	0.005
-8.9009e-008	0.005
-8.8509e-008	0.005
-8.8009e-008	-0.0575
-8.7509e-008	0.005
-8.7009e-008	0.005
-8.6509e-008	0.03625
-8.6009e-008	0.005
-8.5509e-008	0.005
-8.5009e-008	-0.0575
-8.4509e-008	-0.02625
-8.4009e-008	0.005
-8.3509e-008	0.005
-8.3009e-008	0.005
-8.2509e-008	0.005
-8.2009e-008	0.005
-8.1509e-008	-0.02625
-8.1009e-008	-0.02625
-8.0509e-008	0.03625
-8.0009e-008	0.03625
-7.9509e-008	0.0675
-7.9009e-008	-0.0575
-7.8509e-008	0.005
-7.8009e-008	0.005
-7.7509e-008	0.005
-7.7009e-008	0.03625
-7.6509e-008	-0.02625
-7.6009e-008	-0.08875
-7.5509e-008	0.03625
-7.5009e-008	0.0675
-7.4509e-008	0.03625
-7.4009e-008	-0.0575
-7.3509e-008	-0.0575
-7.3009e-008	-0.0575
-7.2509e-008	0.005
-7.2009e-008	-0.0575
-7.1509e-008	-0.02625
-7.1009e-008	0.005
-7.0509e-008	0.03625
-7.0009e-008	-0.02625
-6.9509e-008	0.005
-6.9009e-008	-0.02625
-6.8509e-008	-0.0575
-6.8009e-008	0.005
-6.7509e-008	0.03625
-6.7009e-008	-0.02625
-6.6509e-008	0.005
-6.6009e-008	0.005
-6.5509e-008	0.005
-6.5009e-008	-0.0575
-6.4509e-008	0.005
-6.4009e-008	-0.0575
-6.3509e-008	-0.02625
-6.3009e-008	-0.0575
-6.2509e-008	-0.02625
-6.2009e-008	0.03625
-6.1509e-008	0.0675
-6.1009e-008	-0.02625
-6.0509e-008	0.005
-6.0009e-008	0.005
-5.9509e-008	0.005
-5.9009e-008	0.005
-5.8509e-008	0.03625
-5.8009e-008	0.03625
-5.7509e-008	0.005
-5.7009e-008	-0.0575
-5.6509e-008	-0.0575
-5.6009e-008	0.005
-5.5509e-008	0.03625
-5.5009e-008	0.005
-5.4509e-008	-0.02625
-5.4009e-008	-0.0575
-5.3509e-008	0.005
-5.3009e-008	0.005
-5.2509e-008	0.005
-5.2009e-008	0.005
-5.1509e-008	0.0675
-5.1009e-008	0.0675
-5.0509e-008	0.005
-5.0009e-008	-0.0575
-4.9509e-008	-0.02625
-4.9009e-008	0.03625
-4.8509e-008	0.03625
-4.8009e-008	-0.08875
-4.7509e-008	0.03625
-4.7009e-008	0.03625
-4.6509e-008	-0.02625
-4.6009e-008	-0.0575
-4.5509e-008	0.005
-4.5009e-008	-0.0575
-4.4509e-008	-0.02625
-4.4009e-008	-0.02625
-4.3509e-008	0.005
-4.3009e-008	0.005
-4.2509e-008	0.005
-4.2009e-008	0.03625
-4.1509e-008	0.005
-4.1009e-008	-0.0575
-4.0509e-008	-0.0575
-4.0009e-008	-0.02625
-3.9509e-008	0.0675
-3.9009e-008	0.0675
-3.8509e-008	0.005
-3.8009e-008	-0.08875
-3.7509e-008	0.005
-3.7009e-008	0.005
-3.6509e-008	-0.0575
-3.6009e-008	-0.08875
-3.5509e-008	-0.02625
-3.5009e-008	0.03625
-3.4509e-008	0.03625
-3.4009e-008	-0.02625
-3.3509e-008	0.005
-3.3009e-008	-0.02625
-3.2509e-008	-0.02625
-3.2009e-008	0.005
-3.1509e-008	0.005
-3.1009e-008	-0.0575
-3.0509e-008	0.005
-3.0009e-008	-0.02625
-2.9509e-008	0.005
-2.9009e-008	0.03625
-2.8509e-008	0.03625
-2.8009e-008	-0.0575
-2.7509e-008	0.005
-2.7009e-008	-0.02625
-2.6509e-008	0.005
-2.6009e-008	0.005
-2.5509e-008	-0.02625
-2.5009e-008	-0.02625
-2.4509e-008	0.03625
-2.4009e-008	0.005
-2.3509e-008	0.005
-2.3009e-008	0.005
-2.2509e-008	-0.02625
-2.2009e-008	-0.08875
-2.1509e-008	0.005
-2.1009e-008	0.005
-2.0509e-008	0.005
-2.0009e-008	-0.0575
-1.9509e-008	0.005
-1.9009e-008	-0.02625
-1.8509e-008	0.03625
-1.8009e-008	0.0675
-1.7509e-008	0.005
-1.7009e-008	-0.0575
-1.6509e-008	0.005
-1.6009e-008	0.005
-1.5509e-008	0.005
-1.5009e-008	-0.08875
-1.4509e-008	0.005
-1.4009e-008	0.005
-1.3509e-008	0.005
-1.3009e-008	-0.0575
-1.2509e-008	0.005
-1.2009e-008	0.005
-1.1509e-008	0.005
-1.1009e-008	-0.0575
-1.0509e-008	-0.02625
-1.0009e-008	0.005
-9.509e-009	-0.02625
-9.009e-009	-0.0575
-8.509e-009	-0.02625
-8.009e-009	0.03625
-7.509e-009	0.03625
-7.009e-009	0.005
-6.509e-009	0.005
-6.009e-009	-0.0575
-5.509e-009	-0.02625
-5.009e-009	0.005
-4.509e-009	0.005
-4.009e-009	0.005
-3.509e-009	-0.02625
-3.009e-009	-0.0575
-2.509e-009	0.03625
-2.009e-009	0.03625
-1.509e-009	0.005
-1.009e-009	0.34875
-5.09e-010	1.3175
-9e-012	2.59875
4.91e-010	3.34875
9.91e-010	3.8175
1.491e-009	4.1925
1.991e-009	4.41125
2.491e-009	4.505
2.991e-009	4.59875
3.491e-009	4.6925
3.991e-009	4.72375
4.491e-009	4.78625
4.991e-009	4.72375
5.491e-009	4.78625
5.991e-009	4.84875
6.491e-009	4.8175
6.991e-009	4.8175
7.491e-009	4.8175
7.991e-009	4.84875
8.491e-009	4.84875
8.991e-009	4.72375
9.491e-009	4.6925
9.991e-009	4.755
1.0491e-008	4.9425
1.0991e-008	4.9425
1.1491e-008	4.84875
1.1991e-008	4.91125
1.2491e-008	4.97375
1.2991e-008	4.97375
1.3491e-008	4.9425
1.3991e-008	4.97375
1.4491e-008	4.97375
1.4991e-008	5.005
1.5491e-008	4.97375
1.5991e-008	4.9425
1.6491e-008	4.9425
1.6991e-008	4.91125
1.7491e-008	4.88
1.7991e-008	4.9425
1.8491e-008	5.005
1.8991e-008	4.9425
1.9491e-008	4.91125
1.9991e-008	4.9425
2.0491e-008	4.97375
2.0991e-008	4.97375
2.1491e-008	4.91125
2.1991e-008	4.9425
2.2491e-008	4.97375
2.2991e-008	4.91125
2.3491e-008	4.84875
2.3991e-008	4.91125
2.4491e-008	4.97375
2.4991e-008	4.9425
2.5491e-008	4.91125
2.5991e-008	4.9425
2.6491e-008	4.97375
2.6991e-008	4.9425
2.7491e-008	4.91125
2.7991e-008	4.97375
2.8491e-008	4.9425
2.8991e-008	4.88
2.9491e-008	4.91125
2.9991e-008	4.97375
3.0491e-008	4.91125
3.0991e-008	4.9425
3.1491e-008	4.91125
3.1991e-008	4.84875
3.2491e-008	4.88
3.2991e-008	4.97375
3.3491e-008	4.97375
3.3991e-008	4.97375
3.4491e-008	4.97375
3.4991e-008	4.97375
3.5491e-008	4.88
3.5991e-008	4.91125
3.6491e-008	4.97375
3.6991e-008	4.91125
3.7491e-008	4.88
3.7991e-008	4.91125
3.8491e-008	4.9425
3.8991e-008	4.9425
3.9491e-008	4.91125
3.9991e-008	4.88
4.0491e-008	4.88
4.0991e-008	4.91125
4.1491e-008	4.97375
4.1991e-008	4.9425
4.2491e-008	4.9425
4.2991e-008	5.005
4.3491e-008	4.9425
4.3991e-008	4.78625
4.4491e-008	4.91125
4.4991e-008	5.005
4.5491e-008	4.84875
4.5991e-008	4.8175
4.6491e-008	4.88
4.6991e-008	4.9425
4.7491e-008	4.91125
4.7991e-008	4.9425
4.8491e-008	4.9425
4.8991e-008	4.91125
4.9491e-008	4.91125
4.9991e-008	4.91125
5.0491e-008	4.9425
5.0991e-008	4.97375
5.1491e-008	4.91125
5.1991e-008	4.9425
5.2491e-008	4.97375
5.2991e-008	4.91125
5.3491e-008	4.84875
5.3991e-008	4.8175
5.4491e-008	4.84875
5.4991e-008	4.97375
5.5491e-008	4.91125
5.5991e-008	4.88
5.6491e-008	4.91125
5.6991e-008	4.91125
5.7491e-008	4.9425
5.7991e-008	4.97375
5.8491e-008	4.97375
5.8991e-008	4.91125
5.9491e-008	4.91125
5.9991e-008	4.9425
6.0491e-008	4.9425
6.0991e-008	4.91125
6.1491e-008	4.9425
6.1991e-008	4.9425
6.2491e-008	4.9425
6.2991e-008	4.91125
6.3491e-008	4.91125
6.3991e-008	4.91125
6.4491e-008	4.91125
6.4991e-008	4.9425
6.5491e-008	4.88
6.5991e-008	4.9425
6.6491e-008	4.9425
6.6991e-008	4.88
6.7491e-008	4.91125
6.7991e-008	4.9425
6.8491e-008	4.91125
6.8991e-008	4.88
6.9491e-008	4.91125
6.9991e-008	4.88
7.0491e-008	4.88
7.0991e-008	4.8175
7.1491e-008	4.91125
7.1991e-008	4.91125
7.2491e-008	4.91125
7.2991e-008	4.97375
7.3491e-008	4.91125
7.3991e-008	4.84875
7.4491e-008	4.88
7.4991e-008	4.91125
7.5491e-008	4.9425
7.5991e-008	4.9425
7.6491e-008	4.91125
7.6991e-008	4.9425
7.7491e-008	4.88
7.7991e-008	4.91125
7.8491e-008	4.97375
7.8991e-008	4.91125
7.9491e-008	4.88
7.9991e-008	4.88
8.0491e-008	4.88
8.0991e-008	4.88
8.1491e-008	4.91125
8.1991e-008	4.91125
8.2491e-008	4.88
8.2991e-008	4.91125
8.3491e-008	4.88
8.3991e-008	4.91125
8.4491e-008	4.97375
8.4991e-008	4.88
8.5491e-008	4.97375
8.5991e-008	5.005
8.6491e-008	4.91125
8.6991e-008	4.88
8.7491e-008	4.91125
8.7991e-008	4.9425
8.8491e-008	4.91125
8.8991e-008	4.91125
8.9491e-008	4.91125
8.9991e-008	4.91125
9.0491e-008	4.9425
9.0991e-008	4.9425
9.1491e-008	4.88
9.1991e-008	4.84875
9.2491e-008	4.88
9.2991e-008	4.91125
9.3491e-008	4.97375
9.3991e-008	4.91125
9.4491e-008	4.84875
9.4991e-008	4.9425
9.5491e-008	4.91125
9.5991e-008	4.88
9.6491e-008	4.84875
9.6991e-008	4.88
9.7491e-008	4.9425
9.7991e-008	4.9425
9.8491e-008	4.88
9.8991e-008	4.8175
9.9491e-008	4.84875
9.9991e-008	4.88
1.00491e-007	4.91125
1.00991e-007	4.88
1.01491e-007	4.84875
1.01991e-007	4.84875
