Channel	Threshold	ENC
0	89.987	23.716
1	91.248	24.704
2	97.136	20.752
3	98.397	17.787
4	77.372	23.716
5	100.92	23.716
6	73.167	29.645
7	108.069	28.657
8	116.899	81.03
9	95.453	74.113
10	81.998	66.208
11	96.295	72.137
12	84.1	71.149
13	100.499	82.019
14	85.362	74.113
15	87.464	92.888
16	108.489	130.439
17	92.931	93.877
18	97.977	93.877
19	92.931	93.877
20	94.612	89.924
21	90.408	99.806
22	75.27	99.806
23	94.192	102.77
24	112.273	42.492
25	102.602	37.551
26	84.941	33.598
27	90.828	27.669
28	108.489	21.74
29	42.471	20.752
30	41.209	19.764
31	134.14	32.61
