Channel	Threshold	ENC
0	29.014	32.61
1	30.276	29.645
2	34.481	25.693
3	30.696	22.728
4	19.343	25.693
5	33.22	28.657
6	15.138	35.574
7	42.05	37.551
8	55.085	99.806
9	38.265	89.924
10	29.014	68.184
11	39.527	90.912
12	29.435	69.172
13	39.948	93.877
14	38.265	89.924
15	39.948	93.877
16	58.029	136.368
17	48.358	113.64
18	52.983	124.51
19	47.517	111.664
20	48.778	114.628
21	52.983	124.51
22	47.517	111.664
23	55.085	129.451
24	47.516	58.302
25	35.742	50.397
26	26.912	43.48
27	29.856	34.586
28	39.948	30.633
29	2.103	4.941
30	2.103	4.941
31	60.973	30.633
