ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 195.06	 8.521	196.0	 11	 195.90	 4.293	 100
 0	 0	   20	 208.52	10.191	208.0	 10	 208.54	 4.009	 100
 0	 0	   30	 219.98	 9.029	220.0	 11	 220.04	 4.530	 100
 0	 0	   40	 232.22	 7.499	232.0	 15	 231.69	 2.887	 100
 0	 0	   50	 243.43	 7.532	244.0	 13	 243.83	 2.474	 100
 0	 0	   60	 255.53	 9.367	256.0	 11	 256.02	 3.717	 100
 0	 0	   70	 266.22	 8.141	267.0	 13	 266.46	 2.988	 100
 0	 0	   80	 278.79	 6.981	278.0	 11	 278.07	 2.999	 100
 0	 0	   90	 288.25	 6.178	289.0	 19	 288.58	 1.968	 100
 0	 0	  100	 298.01	 6.571	298.0	 10	 298.78	 2.788	 100
 0	 0	  200	 391.45	 8.007	392.5	 14	 392.36	 2.679	 100
 0	 0	  300	 467.60	 6.836	467.5	  9	 467.29	 4.188	 100
 0	 0	  400	 530.72	 6.699	531.5	 15	 531.42	 2.758	 100
 0	 0	  500	 582.24	 6.358	582.0	  7	 582.47	 3.171	 100
 0	 0	  600	 624.49	 5.856	625.0	 10	 624.41	 3.304	 100
 0	 0	  700	 662.09	 7.261	662.0	 10	 662.54	 4.056	 100
 0	 0	  800	 695.34	 6.817	694.0	  8	 694.80	 4.251	 100
 0	 0	  900	 722.05	 7.582	723.0	 10	 722.63	 4.631	 100
 0	 0	 1000	 747.05	 8.714	746.0	 17	 746.45	 3.239	 100
 0	 0	 1200	 792.50	10.717	790.0	 15	 790.35	 4.396	 100
 0	 0	 1400	 825.82	 7.305	826.0	  8	 826.09	 3.985	 100
 0	 0	 1600	 857.77	 8.259	857.0	  9	 857.63	 5.297	 100
 0	 0	 1800	 883.42	 8.903	883.0	 12	 883.52	 5.119	 100
 0	 0	 2000	 908.09	 8.071	909.0	 13	 908.85	 4.761	 100
 0	 0	 4000	1063.72	 7.513	1063.5	  6	1063.02	 5.491	 100
 0	 0	 6000	1157.59	 9.299	1158.0	  9	1157.09	 5.847	 100
 0	 0	 8000	1227.88	 8.205	1228.0	  7	1228.43	 5.704	 100
 0	 0	10000	1286.39	11.188	1286.5	 10	1286.17	 6.286	 100
 0	 0	12000	1334.95	10.618	1337.0	 11	1337.02	 5.897	 100
 0	 0	14000	1381.17	10.121	1381.0	  8	1381.02	 6.467	 100
 0	 0	16000	1419.25	14.941	1421.0	 10	1420.62	 9.385	 100
 0	 0	18000	1460.22	14.476	1460.0	  9	1457.93	 9.411	 100
 0	 0	20000	1494.78	13.109	1495.0	  8	1494.30	 7.942	 100
 0	 0	22000	1531.92	13.841	1530.0	 10	1529.23	 8.488	 100
 0	 0	24000	1561.52	11.621	1562.0	 11	1562.15	 6.569	 100
 0	 0	26000	1592.03	11.768	1593.0	  9	1592.34	 6.080	 100
 0	 0	28000	1622.84	 8.752	1623.0	 10	1623.54	 4.555	 100
 0	 0	30000	1652.64	10.800	1652.0	 16	1652.49	 3.595	 100
 0	 0	32000	1681.07	 8.525	1681.0	 11	1681.31	 4.534	 100
 0	 0	34000	1704.44	 8.450	1706.0	 10	1705.93	 4.541	 100
 0	 0	36000	1732.77	 8.269	1733.0	 13	1733.60	 4.489	 100
 0	 0	38000	1756.35	 8.450	1757.0	 17	1757.28	 3.430	 100
 0	 0	40000	1783.52	 8.808	1783.0	 14	1782.53	 3.925	 100
 0	 0	42000	1805.10	 8.984	1805.0	 15	1805.60	 4.184	 100
 0	 0	44000	1829.24	 8.849	1829.0	 12	1828.98	 4.698	 100
 0	 0	46000	1851.86	 7.600	1851.5	 12	1850.95	 4.045	 100
 0	 0	48000	1871.21	 7.143	1873.0	  8	1872.36	 4.621	 100
 0	 0	50000	1892.68	 7.363	1892.0	  9	1892.16	 4.574	 100
 0	 0	52000	1909.73	 6.396	1910.0	 18	1909.93	 1.999	 100
 0	 0	54000	1926.79	 6.117	1927.0	 12	1926.86	 3.177	 100
 0	 0	56000	1942.20	 5.623	1943.0	 10	1942.56	 3.021	 100
 0	 0	58000	1957.07	 5.481	1957.0	 15	1956.58	 2.736	 100
 0	 0	60000	1970.86	 5.031	1970.0	 10	1970.27	 3.104	 100
 0	 0	62000	1982.05	 4.244	1982.0	 14	1982.38	 1.842	 100
 0	 0	64000	1993.42	 4.000	1994.0	 16	1993.94	 1.839	 100
 0	 1	   10	 199.70	 7.252	199.0	 15	 198.82	 3.303	 100
 0	 1	   20	 205.78	 8.579	206.0	 16	 205.69	 2.715	 100
 0	 1	   30	 214.44	 8.536	215.0	 15	 215.01	 2.826	 100
 0	 1	   40	 226.35	 8.437	225.0	 13	 225.38	 3.380	 100
 0	 1	   50	 237.34	 9.020	236.0	 10	 236.23	 4.157	 100
 0	 1	   60	 246.25	 9.532	246.0	 20	 246.30	 2.923	 100
 0	 1	   70	 257.50	 7.330	258.0	 16	 258.05	 3.282	 100
 0	 1	   80	 266.91	 5.284	267.0	  7	 266.91	 3.253	 100
 0	 1	   90	 275.25	 7.886	276.0	 17	 276.18	 2.880	 100
 0	 1	  100	 286.17	 7.217	286.0	  7	 286.23	 4.597	 100
 0	 1	  200	 374.53	 6.620	374.0	 11	 373.89	 2.630	 100
 0	 1	  300	 448.47	 5.175	449.0	 14	 448.38	 2.804	 100
 0	 1	  400	 508.39	 6.140	508.0	 14	 508.41	 2.992	 100
 0	 1	  500	 559.44	 7.436	559.0	 17	 559.18	 2.927	 100
 0	 1	  600	 603.01	 6.349	603.0	 19	 602.49	 2.440	 100
 0	 1	  700	 637.91	 7.398	637.0	  5	 636.97	 4.256	 100
 0	 1	  800	 669.74	 7.226	669.0	  9	 669.41	 3.955	 100
 0	 1	  900	 696.54	 7.866	697.0	 11	 696.44	 4.398	 100
 0	 1	 1000	 720.67	 8.595	720.5	 14	 720.35	 3.979	 100
 0	 1	 1200	 759.90	 7.340	759.5	 12	 759.86	 3.652	 100
 0	 1	 1400	 796.27	 6.990	796.0	 13	 796.06	 2.899	 100
 0	 1	 1600	 826.24	 7.660	826.0	  8	 825.63	 4.370	 100
 0	 1	 1800	 850.33	 8.520	851.0	 16	 851.15	 3.950	 100
 0	 1	 2000	 872.58	 8.440	873.0	 12	 872.99	 4.417	 100
 0	 1	 4000	1022.61	 7.184	1022.0	  3	1021.97	 6.259	 100
 0	 1	 6000	1114.39	 7.720	1114.0	 12	1114.50	 3.883	 100
 0	 1	 8000	1182.00	 7.653	1181.0	  4	1181.30	 5.381	 100
 0	 1	10000	1237.31	 7.459	1237.0	  8	1236.75	 4.404	 100
 0	 1	12000	1286.52	 8.113	1286.0	 14	1285.81	 4.157	 100
 0	 1	14000	1330.08	 9.032	1329.0	 15	1328.89	 3.398	 100
 0	 1	16000	1369.15	 8.609	1368.0	 19	1368.17	 3.020	 100
 0	 1	18000	1405.19	 8.498	1405.0	 10	1404.46	 4.760	 100
 0	 1	20000	1441.04	 7.529	1440.0	  7	1440.31	 4.496	 100
 0	 1	22000	1469.92	 7.241	1470.0	  7	1469.99	 4.840	 100
 0	 1	24000	1502.05	 6.927	1503.0	  9	1503.07	 4.404	 100
 0	 1	26000	1532.34	 8.068	1531.0	 12	1531.15	 3.697	 100
 0	 1	28000	1562.61	 8.655	1562.0	 12	1562.48	 4.389	 100
 0	 1	30000	1588.63	 5.699	1589.0	  2	1588.69	 5.160	 100
 0	 1	32000	1616.76	 8.408	1617.0	 10	1616.89	 4.895	 100
 0	 1	34000	1643.57	 6.628	1643.0	  7	1642.97	 4.626	 100
 0	 1	36000	1667.13	 7.772	1669.0	 15	1668.66	 3.463	 100
 0	 1	38000	1693.44	 8.193	1693.0	 13	1692.86	 3.776	 100
 0	 1	40000	1717.45	 7.604	1717.0	 11	1717.03	 3.221	 100
 0	 1	42000	1739.63	 7.515	1741.0	 10	1740.47	 4.020	 100
 0	 1	44000	1761.49	 7.640	1762.0	  9	1762.71	 4.269	 100
 0	 1	46000	1785.57	 6.418	1785.0	 10	1785.23	 3.141	 100
 0	 1	48000	1807.95	 6.142	1807.0	 17	1807.23	 3.038	 100
 0	 1	50000	1827.01	 6.449	1827.0	 13	1827.70	 3.767	 100
 0	 1	52000	1847.82	 6.325	1848.0	 20	1848.09	 2.847	 100
 0	 1	54000	1867.74	 7.344	1868.5	 11	1868.08	 3.109	 100
 0	 1	56000	1887.21	 6.861	1887.0	 19	1886.93	 3.007	 100
