ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 182.21	10.428	182.0	  1	 181.93	10.095	 100
 0	 0	   20	 197.62	10.626	197.0	  2	 196.83	 9.111	 100
 0	 0	   30	 208.29	11.102	208.0	  1	 207.81	10.053	 100
 0	 0	   40	 223.72	10.205	224.0	  3	 222.69	 8.443	 100
 0	 0	   50	 234.84	10.988	233.0	  5	 233.13	 8.153	 100
 0	 0	   60	 249.05	10.596	248.0	  3	 247.90	 7.737	 100
 0	 0	   70	 261.93	 9.485	261.0	  2	 261.40	 8.803	 100
 0	 0	   80	 275.25	11.699	273.5	  2	 274.19	 9.119	 100
 0	 0	   90	 287.38	11.981	285.0	  6	 285.29	 8.614	 100
 0	 0	  100	 299.48	10.581	298.0	  2	 298.50	 7.497	 100
 0	 0	  200	 398.69	10.257	397.0	  2	 398.05	 9.310	 100
 0	 0	  300	 461.77	 6.993	461.0	  1	 461.55	 6.657	 100
 0	 0	  400	 509.97	 6.771	509.0	  1	 509.77	 6.495	 100
 0	 0	  500	 546.37	 6.637	546.0	  2	 545.98	 6.100	 100
 0	 0	  600	 576.07	 7.829	575.0	  3	 575.43	 7.021	 100
 0	 0	  700	 602.66	 6.665	602.0	  0	 602.66	 6.665	 100
 0	 0	  800	 627.11	 6.008	628.0	  5	 626.93	 5.193	 100
 0	 0	  900	 646.77	 5.775	646.0	  0	 646.77	 5.775	 100
 0	 0	 1000	 663.27	 6.609	663.0	  2	 662.87	 6.025	 100
 0	 0	 1200	 696.16	 6.286	696.0	  0	 696.16	 6.286	 100
 0	 0	 1400	 721.08	 6.562	721.0	  3	 720.90	 5.789	 100
 0	 0	 1600	 745.04	 6.685	744.0	  2	 744.62	 6.062	 100
 0	 0	 1800	 763.09	 6.042	763.0	  0	 763.09	 6.042	 100
 0	 0	 2000	 781.63	 6.936	781.0	  1	 781.40	 6.591	 100
 0	 0	 4000	 899.06	 7.274	899.0	  1	 898.77	 6.694	 100
 0	 0	 6000	 971.35	 7.126	970.5	  1	 971.11	 6.747	 100
 0	 0	 8000	1026.48	 7.495	1027.0	  0	1026.48	 7.495	 100
 0	 0	10000	1073.55	 7.111	1074.0	  0	1073.55	 7.111	 100
 0	 0	12000	1114.35	 6.220	1114.0	  1	1114.11	 5.773	 100
 0	 0	14000	1152.74	 5.877	1152.0	  0	1152.74	 5.877	 100
 0	 0	16000	1186.62	 6.807	1186.0	  1	1186.38	 6.417	 100
 0	 0	18000	1218.20	 6.504	1218.0	  1	1218.02	 6.282	 100
 0	 0	20000	1248.12	 7.086	1247.0	  0	1248.12	 7.086	 100
 0	 0	22000	1278.44	 6.158	1278.0	  0	1278.44	 6.158	 100
 0	 0	24000	1305.15	 6.910	1305.0	  1	1304.95	 6.646	 100
 0	 0	26000	1330.56	 5.383	1330.0	  2	1330.26	 4.987	 100
 0	 0	28000	1356.86	 6.440	1357.0	  1	1356.63	 6.032	 100
 0	 0	30000	1381.67	 6.784	1382.0	  2	1381.23	 6.100	 100
 0	 0	32000	1404.87	 5.898	1405.0	  0	1404.87	 5.898	 100
 0	 0	34000	1427.61	 5.800	1427.0	  1	1427.46	 5.643	 100
 0	 0	36000	1451.46	 6.478	1451.0	  1	1451.26	 6.202	 100
 0	 0	38000	1475.63	 6.227	1475.0	  0	1475.63	 6.227	 100
 0	 0	40000	1495.27	 6.133	1495.0	  1	1495.09	 5.896	 100
 0	 0	42000	1518.99	 6.014	1518.0	  0	1518.99	 6.014	 100
 0	 0	44000	1539.43	 6.019	1540.0	  0	1539.43	 6.019	 100
 0	 0	46000	1563.31	 5.512	1563.0	  0	1563.31	 5.512	 100
 0	 0	48000	1584.48	 6.297	1584.0	  1	1584.28	 6.010	 100
 0	 0	50000	1605.08	 7.112	1604.0	  2	1604.60	 6.331	 100
 0	 0	52000	1624.09	 6.566	1623.5	  0	1624.09	 6.566	 100
 0	 0	54000	1646.06	 6.505	1646.0	  2	1646.08	 5.909	 100
 0	 0	56000	1666.70	 5.868	1666.0	  0	1666.70	 5.868	 100
 0	 0	58000	1685.44	 5.686	1685.0	  0	1685.44	 5.686	 100
 0	 0	60000	1706.39	 5.956	1706.0	  1	1706.16	 5.529	 100
 0	 0	62000	1725.35	 6.220	1725.0	  4	1724.56	 4.929	 100
 0	 0	64000	1745.36	 5.647	1746.0	  0	1745.36	 5.647	 100
 0	 1	   10	 194.02	 7.135	194.0	  3	 193.84	 6.171	 100
 0	 1	   20	 193.58	 5.845	194.0	  0	 193.58	 5.845	 100
 0	 1	   30	 204.89	 4.725	205.0	  0	 204.89	 4.725	 100
 0	 1	   40	 215.43	 4.464	215.5	  0	 215.43	 4.464	 100
 0	 1	   50	 225.53	 5.317	225.0	  0	 225.53	 5.317	 100
 0	 1	   60	 236.61	 5.373	237.0	  0	 236.61	 5.373	 100
 0	 1	   70	 248.02	 5.101	248.0	  2	 247.70	 4.638	 100
 0	 1	   80	 257.07	 5.109	258.0	  0	 257.07	 5.109	 100
 0	 1	   90	 267.12	 4.298	267.0	  0	 267.12	 4.298	 100
 0	 1	  100	 276.24	 4.693	276.0	  1	 276.38	 4.490	 100
 0	 1	  200	 352.12	 5.032	352.0	  3	 351.66	 4.349	 100
 0	 1	  300	 411.47	 4.377	412.0	  1	 411.61	 4.182	 100
 0	 1	  400	 461.58	 4.432	461.5	  0	 461.58	 4.432	 100
 0	 1	  500	 502.88	 4.212	502.0	  1	 502.75	 4.019	 100
 0	 1	  600	 537.23	 4.126	537.0	  0	 537.23	 4.126	 100
 0	 1	  700	 567.47	 5.474	568.0	  1	 567.63	 5.273	 100
 0	 1	  800	 591.83	 4.573	592.0	  1	 591.68	 4.330	 100
 0	 1	  900	 612.67	 5.115	612.0	  1	 612.82	 4.921	 100
 0	 1	 1000	 630.18	 5.370	630.0	  0	 630.18	 5.370	 100
 0	 1	 1200	 664.03	 4.201	664.0	  0	 664.03	 4.201	 100
 0	 1	 1400	 688.55	 4.425	689.0	  0	 688.55	 4.425	 100
 0	 1	 1600	 710.07	 4.457	710.0	  0	 710.07	 4.457	 100
 0	 1	 1800	 729.90	 4.877	730.0	  2	 729.90	 4.432	 100
 0	 1	 2000	 747.43	 4.608	747.0	  0	 747.43	 4.608	 100
 0	 1	 4000	 859.08	 5.295	859.0	  0	 859.08	 5.295	 100
 0	 1	 6000	 927.11	 5.608	927.0	  0	 927.11	 5.608	 100
 0	 1	 8000	 979.57	 5.008	980.0	  0	 979.57	 5.008	 100
 0	 1	10000	1025.03	 6.792	1026.0	  0	1025.03	 6.792	 100
 0	 1	12000	1063.44	 5.485	1062.0	  0	1063.44	 5.485	 100
 0	 1	14000	1098.24	 5.551	1098.0	  0	1098.24	 5.551	 100
 0	 1	16000	1129.95	 4.852	1130.0	  0	1129.95	 4.852	 100
 0	 1	18000	1162.13	 4.228	1162.0	  0	1162.13	 4.228	 100
 0	 1	20000	1188.59	 4.751	1188.0	  0	1188.59	 4.751	 100
 0	 1	22000	1215.36	 4.966	1215.0	  0	1215.36	 4.966	 100
 0	 1	24000	1242.20	 4.608	1242.0	  0	1242.20	 4.608	 100
 0	 1	26000	1266.13	 4.244	1266.0	  0	1266.13	 4.244	 100
 0	 1	28000	1290.80	 4.495	1290.0	  2	1290.82	 3.996	 100
 0	 1	30000	1314.26	 4.552	1315.0	  0	1314.26	 4.552	 100
 0	 1	32000	1337.34	 4.641	1337.0	  1	1337.19	 4.421	 100
 0	 1	34000	1360.63	 4.739	1361.0	  0	1360.63	 4.739	 100
 0	 1	36000	1379.57	 4.078	1379.0	  0	1379.57	 4.078	 100
 0	 1	38000	1401.91	 5.005	1402.0	  1	1402.06	 4.798	 100
