ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 103.83	 1.787	104.0	  0	 103.83	 1.787	 100
 0	 0	  1	 107.26	 1.942	107.0	  2	 107.27	 1.825	 100
 0	 0	  2	 138.70	 1.931	138.0	  3	 138.53	 1.665	 100
 0	 0	  3	 203.70	 2.580	204.0	  0	 203.70	 2.580	 100
 0	 0	  4	 310.49	 2.488	310.0	  6	 310.44	 2.061	 100
 0	 0	  5	 422.43	 2.819	422.0	  0	 422.43	 2.819	 100
 0	 0	  6	 531.48	 2.325	532.0	  0	 531.48	 2.325	 100
 0	 0	  7	 616.91	 2.425	617.0	  0	 616.91	 2.425	 100
 0	 0	  8	 672.29	 2.645	672.0	  0	 672.29	 2.645	 100
 0	 0	  9	 697.89	 2.178	698.0	  6	 697.66	 1.793	 100
 0	 0	 10	 701.23	 2.260	701.0	  0	 701.23	 2.260	 100
 0	 0	 11	 687.79	 2.488	688.0	  0	 687.79	 2.488	 100
 0	 0	 12	 661.45	 2.459	661.0	  9	 661.29	 1.934	 100
 0	 0	 13	 635.22	 2.423	635.0	  0	 635.22	 2.423	 100
 0	 0	 14	 615.72	 2.279	616.0	  0	 615.72	 2.279	 100
 0	 0	 15	 599.99	 2.186	600.0	  0	 599.99	 2.186	 100
 0	 0	 16	 584.80	 2.069	585.0	  4	 584.80	 1.816	 100
 0	 0	 17	 576.66	 2.208	577.0	  3	 576.71	 2.041	 100
 0	 0	 18	 564.32	 1.979	564.0	  2	 564.22	 1.881	 100
 0	 0	 19	 549.86	 1.939	550.0	  0	 549.86	 1.939	 100
 0	 0	 20	 532.22	 1.957	532.0	  2	 532.24	 1.771	 100
 0	 0	 21	 509.83	 2.742	509.0	  0	 509.83	 2.742	 100
 0	 0	 22	 484.73	 2.093	485.0	  5	 484.93	 1.652	 100
 0	 0	 23	 458.41	 1.776	458.0	  1	 458.46	 1.698	 100
 0	 0	 24	 430.77	 2.238	431.0	  0	 430.77	 2.238	 100
 0	 0	 25	 404.48	 1.856	405.0	  1	 404.53	 1.809	 100
 0	 0	 26	 379.32	 1.836	379.0	  2	 379.32	 1.678	 100
 0	 0	 27	 356.77	 1.717	357.0	  1	 356.72	 1.642	 100
 0	 0	 28	 336.21	 1.788	336.0	  1	 336.16	 1.730	 100
 0	 0	 29	 317.47	 2.002	317.0	  4	 317.50	 1.729	 100
 0	 0	 30	 299.76	 1.843	300.0	  2	 299.86	 1.729	 100
 0	 0	 31	 283.56	 1.500	283.0	  2	 283.47	 1.371	 100
 0	 0	 32	 268.90	 1.744	269.0	  0	 268.90	 1.744	 100
 0	 0	 33	 253.57	 2.504	253.0	 11	 253.01	 2.042	 100
 0	 0	 34	 239.97	 1.930	240.0	  0	 239.97	 1.930	 100
 0	 0	 35	 227.15	 1.493	227.0	  1	 227.20	 1.407	 100
 0	 0	 36	 215.29	 1.591	215.0	  0	 215.29	 1.591	 100
 0	 0	 37	 204.91	 1.602	205.0	  0	 204.91	 1.602	 100
 0	 0	 38	 195.54	 1.201	196.0	  0	 195.54	 1.201	 100
 0	 0	 39	 186.26	 1.673	186.0	  0	 186.26	 1.673	 100
 0	 0	 40	 178.10	 1.801	178.0	  1	 178.05	 1.740	 100
 0	 0	 41	 170.95	 1.466	171.0	  0	 170.95	 1.466	 100
 0	 0	 42	 164.36	 1.460	165.0	  0	 164.36	 1.460	 100
 0	 0	 43	 158.20	 1.621	158.0	  0	 158.20	 1.621	 100
 0	 0	 44	 153.37	 1.468	154.0	  1	 153.41	 1.407	 100
 0	 0	 45	 148.39	 1.385	148.0	  1	 148.34	 1.311	 100
 0	 0	 46	 144.68	 1.355	145.0	  0	 144.68	 1.355	 100
 0	 0	 47	 140.26	 1.338	141.0	  0	 140.26	 1.338	 100
 0	 0	 48	 137.06	 1.309	137.0	  0	 137.06	 1.309	 100
 0	 0	 49	 133.93	 1.423	134.0	  0	 133.93	 1.423	 100
 0	 0	 50	 131.45	 1.336	132.0	  0	 131.45	 1.336	 100
 0	 0	 51	 128.80	 1.295	129.0	  0	 128.80	 1.295	 100
 0	 0	 52	 126.02	 1.595	126.0	  0	 126.02	 1.595	 100
 0	 0	 53	 123.39	 1.340	123.0	  0	 123.39	 1.340	 100
 0	 0	 54	 121.79	 1.131	122.0	  0	 121.79	 1.131	 100
 0	 0	 55	 119.83	 1.378	120.0	  0	 119.83	 1.378	 100
