ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 171.14	 7.702	171.0	  9	 170.51	 4.086	 100
 0	 0	  1	 193.31	 8.943	194.0	  9	 193.75	 4.004	 100
 0	 0	  2	 247.78	10.563	249.0	 11	 249.29	 3.871	 100
 0	 0	  3	 339.00	 9.020	340.0	 12	 339.86	 3.041	 100
 0	 0	  4	 416.97	10.798	417.5	 16	 417.73	 2.203	 100
 0	 0	  5	 491.79	 9.028	491.0	 15	 491.60	 3.052	 100
 0	 0	  6	 554.66	 7.405	554.0	 13	 553.46	 3.302	 100
 0	 0	  7	 604.71	 6.855	605.0	  6	 605.18	 4.472	 100
 0	 0	  8	 646.22	 8.259	647.0	 12	 647.39	 4.087	 100
 0	 0	  9	 681.67	 8.020	681.0	  9	 681.30	 4.774	 100
 0	 0	 10	 705.62	 9.648	706.0	 12	 706.41	 4.555	 100
 0	 0	 11	 724.97	 8.683	726.0	  7	 726.88	 4.709	 100
 0	 0	 12	 738.84	12.113	738.0	 10	 738.26	 4.605	 100
 0	 0	 13	 744.47	 9.649	745.0	 10	 744.81	 4.287	 100
 0	 0	 14	 746.25	 7.644	746.0	  4	 745.76	 5.961	 100
 0	 0	 15	 743.70	 9.250	743.0	 17	 743.45	 4.407	 100
 0	 0	 16	 735.68	10.619	735.0	 11	 735.80	 4.725	 100
 0	 0	 17	 726.46	 8.886	725.0	 13	 725.36	 5.142	 100
 0	 0	 18	 711.54	 7.802	710.0	 16	 710.76	 3.111	 100
 0	 0	 19	 697.04	 8.311	697.0	 11	 696.82	 4.446	 100
 0	 0	 20	 679.72	 9.450	681.0	  9	 680.84	 5.807	 100
 0	 0	 21	 662.63	 8.429	662.0	  9	 661.84	 4.199	 100
 0	 0	 22	 643.28	 5.754	644.0	 18	 643.71	 3.041	 100
 0	 0	 23	 622.92	10.146	623.0	 10	 622.87	 4.206	 100
 0	 0	 24	 601.96	 7.124	602.0	  8	 601.75	 3.960	 100
 0	 0	 25	 583.62	 6.648	583.0	  3	 582.74	 3.887	 100
 0	 0	 26	 558.97	 6.810	560.0	 13	 560.43	 3.109	 100
 0	 0	 27	 540.76	 7.485	540.0	 12	 539.90	 3.206	 100
 0	 0	 28	 519.97	 7.752	520.0	 14	 520.07	 3.603	 100
 0	 0	 29	 497.80	 6.341	498.0	 13	 497.79	 3.300	 100
 0	 0	 30	 479.13	 7.798	478.0	 15	 478.45	 3.297	 100
 0	 0	 31	 460.13	 4.976	460.0	  8	 459.73	 2.738	 100
 0	 0	 32	 441.02	 6.734	441.0	  6	 440.98	 4.537	 100
 0	 0	 33	 423.34	 5.097	424.0	  8	 423.43	 3.028	 100
 0	 0	 34	 405.59	 5.109	406.0	 14	 405.95	 1.859	 100
 0	 0	 35	 390.79	 4.423	390.5	 11	 390.48	 2.232	 100
 0	 0	 36	 373.83	 4.146	374.0	  5	 374.35	 2.704	 100
 0	 0	 37	 360.81	 4.059	361.0	 18	 360.63	 1.822	 100
 0	 0	 38	 348.55	 3.514	349.0	  4	 348.32	 2.819	 100
 0	 0	 39	 334.91	 3.576	334.0	  5	 334.81	 2.611	 100
 0	 0	 40	 323.24	 3.632	324.0	 13	 323.85	 1.709	 100
 0	 0	 41	 312.68	 4.866	313.0	 17	 313.02	 1.900	 100
 0	 0	 42	 301.81	 3.431	302.0	  4	 302.26	 2.661	 100
 0	 0	 43	 293.43	 4.400	293.0	 16	 292.81	 1.477	 100
 0	 0	 44	 284.12	 3.236	285.0	  3	 284.02	 2.773	 100
 0	 0	 45	 275.79	 2.675	276.0	  9	 275.78	 1.526	 100
