ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 155.59	 9.953	155.0	  2	 154.85	 8.458	 100
 0	 0	  1	 172.83	12.441	173.0	  2	 172.64	10.866	 100
 0	 0	  2	 227.08	11.443	226.0	  1	 226.52	10.002	 100
 0	 0	  3	 323.24	 9.123	323.0	  2	 323.82	 8.255	 100
 0	 0	  4	 403.63	 8.124	403.0	  0	 403.63	 8.124	 100
 0	 0	  5	 472.24	 6.633	471.5	  1	 472.06	 6.419	 100
 0	 0	  6	 528.85	 6.287	529.0	  2	 528.84	 5.700	 100
 0	 0	  7	 572.62	 5.877	572.0	  0	 572.62	 5.877	 100
 0	 0	  8	 608.71	 5.518	609.0	  2	 609.02	 5.115	 100
 0	 0	  9	 635.31	 6.971	635.0	  3	 635.13	 6.067	 100
 0	 0	 10	 652.77	 7.064	653.0	  2	 652.69	 6.340	 100
 0	 0	 11	 663.31	 6.263	663.0	  1	 663.12	 6.002	 100
 0	 0	 12	 667.76	 7.200	668.0	  0	 667.76	 7.200	 100
 0	 0	 13	 664.08	 8.493	662.5	  4	 663.17	 7.345	 100
 0	 0	 14	 656.06	 6.307	656.0	  0	 656.06	 6.307	 100
 0	 0	 15	 640.94	 6.449	641.0	  1	 640.74	 6.154	 100
 0	 0	 16	 627.60	 5.981	627.5	  2	 627.65	 5.379	 100
 0	 0	 17	 611.06	 5.720	610.0	  2	 610.71	 5.231	 100
 0	 0	 18	 591.78	 5.771	592.5	  2	 591.76	 5.292	 100
 0	 0	 19	 574.20	 5.494	574.0	  0	 574.20	 5.494	 100
 0	 0	 20	 552.97	 6.491	553.5	  2	 552.94	 5.781	 100
 0	 0	 21	 531.36	 5.334	532.0	  4	 531.62	 4.591	 100
 0	 0	 22	 511.06	 5.510	512.0	  0	 511.06	 5.510	 100
 0	 0	 23	 488.24	 5.251	488.0	  1	 488.07	 4.996	 100
 0	 0	 24	 467.54	 4.300	468.0	  0	 467.54	 4.300	 100
 0	 0	 25	 445.54	 5.173	445.5	  0	 445.54	 5.173	 100
 0	 0	 26	 426.14	 4.706	426.0	  0	 426.14	 4.706	 100
 0	 0	 27	 405.97	 4.593	406.0	  0	 405.97	 4.593	 100
 0	 0	 28	 385.80	 4.358	386.0	  0	 385.80	 4.358	 100
 0	 0	 29	 366.82	 4.331	366.5	  0	 366.82	 4.331	 100
 0	 0	 30	 348.85	 4.059	349.0	  0	 348.85	 4.059	 100
 0	 0	 31	 331.90	 4.583	331.5	  3	 332.01	 4.112	 100
 0	 0	 32	 316.59	 4.200	317.0	  0	 316.59	 4.200	 100
 0	 0	 33	 302.36	 3.656	302.0	  0	 302.36	 3.656	 100
 0	 0	 34	 288.79	 3.424	289.0	  0	 288.79	 3.424	 100
 0	 0	 35	 276.23	 3.939	277.0	  4	 276.45	 3.433	 100
 0	 0	 36	 266.24	 2.968	266.0	  0	 266.24	 2.968	 100
 0	 0	 37	 256.41	 3.373	257.0	  1	 256.53	 3.186	 100
 0	 0	 38	 246.41	 3.175	247.0	  0	 246.41	 3.175	 100
 0	 0	 39	 238.32	 3.178	238.0	  0	 238.32	 3.178	 100
 0	 0	 40	 230.57	 3.285	231.0	  3	 230.86	 2.890	 100
 0	 0	 41	 223.33	 2.652	223.0	  0	 223.33	 2.652	 100
 0	 0	 42	 216.83	 2.832	217.0	  0	 216.83	 2.832	 100
 0	 0	 43	 211.59	 2.625	212.0	  0	 211.59	 2.625	 100
 0	 0	 44	 205.29	 2.603	205.0	  0	 205.29	 2.603	 100
 0	 0	 45	 200.73	 2.224	201.0	  3	 200.92	 1.977	 100
 0	 0	 46	 196.18	 3.233	197.0	  0	 196.18	 3.233	 100
 0	 0	 47	 191.74	 2.758	192.0	  1	 191.83	 2.627	 100
 0	 0	 48	 187.84	 2.974	188.0	  1	 187.95	 2.779	 100
 0	 0	 49	 183.84	 2.631	184.0	  0	 183.84	 2.631	 100
 0	 0	 50	 181.03	 2.772	181.0	  0	 181.03	 2.772	 100
 0	 0	 51	 178.01	 2.541	178.0	  0	 178.01	 2.541	 100
 0	 0	 52	 175.26	 3.093	176.0	  1	 175.35	 2.963	 100
 0	 0	 53	 172.78	 2.891	173.0	  0	 172.78	 2.891	 100
 0	 0	 54	 170.66	 3.082	171.0	  1	 170.76	 2.938	 100
 0	 0	 55	 169.53	 2.472	170.0	  0	 169.53	 2.472	 100
 0	 0	 56	 167.55	 3.076	168.0	  1	 167.69	 2.769	 100
 0	 0	 57	 166.37	 2.692	166.0	  0	 166.37	 2.692	 100
 0	 0	 58	 164.94	 3.051	165.0	  0	 164.94	 3.051	 100
 0	 0	 59	 163.39	 2.636	163.0	  0	 163.39	 2.636	 100
 0	 0	 60	 162.09	 2.720	162.0	  1	 162.18	 2.573	 100
 0	 0	 61	 160.99	 2.646	161.0	  9	 160.95	 1.985	 100
 0	 0	 62	 160.32	 2.428	160.0	  0	 160.32	 2.428	 100
 0	 0	 63	 158.82	 2.801	160.0	  0	 158.82	 2.801	 100
 0	 0	 64	 157.88	 2.847	158.0	  1	 157.98	 2.680	 100
 0	 0	 65	 157.38	 3.061	157.0	  0	 157.38	 3.061	 100
 0	 0	 66	 156.36	 2.646	157.0	  0	 156.36	 2.646	 100
 0	 0	 67	 156.29	 2.914	157.0	  2	 156.46	 2.687	 100
 0	 0	 68	 155.87	 2.604	156.0	  0	 155.87	 2.604	 100
 0	 0	 69	 155.49	 3.083	155.0	  0	 155.49	 3.083	 100
 0	 0	 70	 155.59	 2.470	156.0	  8	 155.67	 2.033	 100
 0	 0	 71	 155.18	 2.694	155.0	  0	 155.18	 2.694	 100
 0	 0	 72	 154.91	 2.327	155.0	  0	 154.91	 2.327	 100
 0	 0	 73	 154.33	 2.655	154.0	  0	 154.33	 2.655	 100
 0	 0	 74	 154.11	 2.874	154.0	  1	 154.20	 2.737	 100
 0	 0	 75	 153.79	 2.405	154.0	  1	 153.86	 2.317	 100
 0	 0	 76	 153.56	 2.986	154.0	  0	 153.56	 2.986	 100
 0	 0	 77	 153.10	 3.050	154.0	  1	 153.19	 2.923	 100
 0	 0	 78	 151.93	 3.245	152.0	  1	 152.03	 3.102	 100
 0	 0	 79	 152.69	 3.093	153.0	  0	 152.69	 3.093	 100
 0	 0	 80	 152.57	 3.089	153.0	 10	 152.93	 2.114	 100
 0	 0	 81	 152.45	 2.504	153.0	  0	 152.45	 2.504	 100
 0	 0	 82	 152.85	 2.480	153.0	  0	 152.85	 2.480	 100
 0	 0	 83	 151.83	 2.971	152.0	  1	 151.92	 2.849	 100
