# Acquisition started at 14/09/2022 - 16:12:21 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
0	000	2	00	0		158
0	000	2	00	1		142
0	000	2	00	2		110
0	000	2	00	3		124
0	000	2	00	4		149
0	000	2	00	5		97
0	000	2	00	6		158
0	000	2	00	7		97
0	000	2	00	8		96
0	000	2	00	9		118
0	000	2	00	10		157
0	000	2	00	11		123
0	000	2	00	12		158
0	000	2	00	13		119
0	000	2	00	14		125
0	000	2	00	15		137
0	000	2	00	16		145
0	000	2	00	17		105
0	000	2	00	18		122
0	000	2	00	19		108
0	000	2	00	20		120
0	000	2	00	21		124
0	000	2	00	22		154
0	000	2	00	23		118
0	000	2	00	24		100
0	000	2	00	25		134
0	000	2	00	26		133
0	000	2	00	27		143
0	000	2	00	28		105
0	000	2	00	29		198
0	000	2	00	30		185
0	011	2	10	31		87
1	000	2	00	0		146
1	000	2	00	1		126
1	000	2	00	2		102
1	000	2	00	3		521
1	000	2	00	4		138
1	000	2	00	5		90
1	000	2	00	6		155
1	000	2	00	7		86
1	000	2	00	8		89
1	000	2	00	9		117
1	000	2	00	10		149
1	000	2	00	11		110
1	000	2	00	12		150
1	000	2	00	13		110
1	000	2	00	14		118
1	000	2	00	15		125
1	000	2	00	16		148
1	000	2	00	17		109
1	000	2	00	18		121
1	000	2	00	19		109
1	000	2	00	20		114
1	000	2	00	21		126
1	000	2	00	22		150
1	000	2	00	23		113
1	000	2	00	24		98
1	000	2	00	25		134
1	000	2	00	26		134
1	000	2	00	27		141
1	000	2	00	28		104
1	000	2	00	29		191
1	000	2	00	30		182
1	011	2	10	31		80
2	000	2	00	0		146
2	000	2	00	1		123
2	000	2	00	2		104
2	000	2	00	3		116
2	000	2	00	4		589
2	000	2	00	5		91
2	000	2	00	6		152
2	000	2	00	7		86
2	000	2	00	8		84
2	000	2	00	9		109
2	000	2	00	10		145
2	000	2	00	11		107
2	000	2	00	12		147
2	000	2	00	13		106
2	000	2	00	14		112
2	000	2	00	15		123
2	000	2	00	16		142
2	000	2	00	17		104
2	000	2	00	18		114
2	000	2	00	19		104
2	000	2	00	20		112
2	000	2	00	21		123
2	000	2	00	22		146
2	000	2	00	23		107
2	000	2	00	24		96
2	000	2	00	25		132
2	000	2	00	26		132
2	000	2	00	27		138
2	000	2	00	28		107
2	000	2	00	29		194
2	000	2	00	30		184
2	011	2	10	31		75
3	000	2	00	0		154
3	000	2	00	1		140
3	000	2	00	2		109
3	000	2	00	3		124
3	000	2	00	4		151
3	000	2	00	5		94
3	000	2	00	6		161
3	000	2	00	7		100
3	000	2	00	8		93
3	000	2	00	9		116
3	000	2	00	10		150
3	000	2	00	11		113
3	000	2	00	12		149
3	000	2	00	13		111
3	000	2	00	14		121
3	000	2	00	15		125
3	000	2	00	16		140
3	000	2	00	17		105
3	000	2	00	18		117
3	000	2	00	19		104
3	000	2	00	20		111
3	000	2	00	21		128
3	000	2	00	22		150
3	000	2	00	23		113
3	000	2	00	24		94
3	000	2	00	25		135
3	000	2	00	26		134
3	000	2	00	27		142
3	000	2	00	28		109
3	000	2	00	29		195
3	000	2	00	30		189
3	011	2	10	31		82
4	000	2	00	0		154
4	000	2	00	1		134
4	000	2	00	2		108
4	000	2	00	3		329
4	000	2	00	4		315
4	000	2	00	5		100
4	000	2	00	6		157
4	000	2	00	7		96
4	000	2	00	8		100
4	000	2	00	9		116
4	000	2	00	10		155
4	000	2	00	11		114
4	000	2	00	12		157
4	000	2	00	13		112
4	000	2	00	14		123
4	000	2	00	15		136
4	000	2	00	16		142
4	000	2	00	17		108
4	000	2	00	18		117
4	000	2	00	19		107
4	000	2	00	20		117
4	000	2	00	21		124
4	000	2	00	22		148
4	000	2	00	23		110
4	000	2	00	24		101
4	000	2	00	25		134
4	000	2	00	26		134
4	000	2	00	27		148
4	000	2	00	28		106
4	000	2	00	29		201
4	000	2	00	30		191
4	011	2	10	31		82
5	000	2	00	0		157
5	000	2	00	1		137
5	000	2	00	2		110
5	000	2	00	3		129
5	000	2	00	4		149
5	000	2	00	5		102
5	000	2	00	6		161
5	000	2	00	7		98
5	000	2	00	8		92
5	000	2	00	9		118
5	000	2	00	10		155
5	000	2	00	11		122
5	000	2	00	12		156
5	000	2	00	13		117
5	000	2	00	14		126
5	000	2	00	15		136
5	000	2	00	16		144
5	000	2	00	17		110
5	000	2	00	18		117
5	000	2	00	19		106
5	000	2	00	20		120
5	000	2	00	21		124
5	000	2	00	22		151
5	000	2	00	23		117
5	000	2	00	24		98
5	000	2	00	25		137
5	000	2	00	26		134
5	000	2	00	27		142
5	000	2	00	28		105
5	000	2	00	29		193
5	000	2	00	30		185
5	011	2	10	31		82
6	000	2	00	0		146
6	000	2	00	1		130
6	000	2	00	2		101
6	000	2	00	3		117
6	000	2	00	4		144
6	000	2	00	5		93
6	000	2	00	6		154
6	000	2	00	7		509
6	000	2	00	8		88
6	000	2	00	9		106
6	000	2	00	10		144
6	000	2	00	11		107
6	000	2	00	12		151
6	000	2	00	13		106
6	000	2	00	14		118
6	000	2	00	15		120
6	000	2	00	16		137
6	000	2	00	17		104
6	000	2	00	18		117
6	000	2	00	19		102
6	000	2	00	20		110
6	000	2	00	21		120
6	000	2	00	22		145
6	000	2	00	23		107
6	000	2	00	24		97
6	000	2	00	25		131
6	000	2	00	26		137
6	000	2	00	27		145
6	000	2	00	28		105
6	000	2	00	29		198
6	000	2	00	30		188
6	011	2	10	31		81
7	000	2	00	0		153
7	000	2	00	1		132
7	000	2	00	2		108
7	000	2	00	3		123
7	000	2	00	4		148
7	000	2	00	5		98
7	000	2	00	6		160
