# Acquisition started at 14/09/2022 - 13:48:53 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
0	011	2	11	0		0
1	011	2	10	5		539
2	011	2	10	0		685
3	011	2	10	6		581
4	011	2	10	7		558
5	011	2	11	0		0
6	011	2	10	3		578
7	011	2	10	5		578
8	011	2	10	0		720
9	011	2	10	7		539
10	011	2	10	4		665
11	011	2	10	3		579
12	011	2	10	0		588
13	011	2	10	2		556
14	011	2	10	1		599
15	011	2	10	4		581
16	011	2	10	2		640
17	011	2	10	7		591
18	011	2	10	3		576
19	011	2	10	2		544
20	011	2	11	0		0
21	011	2	10	6		611
22	011	2	10	0		622
23	011	2	10	6		629
24	011	2	10	5		557
25	011	2	10	2		580
26	011	2	10	0		623
27	011	2	10	6		634
28	011	2	10	4		663
29	011	2	10	6		654
30	011	2	10	0		657
31	011	2	10	4		623
32	011	2	10	6		626
33	011	2	10	2		586
34	011	2	10	0		698
35	011	2	10	4		585
36	011	2	10	4		644
37	011	2	10	1		645
38	011	2	10	2		589
39	011	2	10	1		592
40	011	2	10	3		597
41	011	2	10	1		645
42	011	2	10	6		572
43	011	2	10	2		566
44	011	2	11	0		0
45	011	2	10	7		567
46	011	2	10	1		720
47	011	2	10	3		693
48	011	2	10	4		600
49	011	2	10	2		644
50	011	2	10	1		649
51	011	2	10	6		616
52	011	2	10	7		552
53	011	2	10	7		554
54	011	2	10	5		550
55	011	2	10	2		587
56	011	2	10	6		580
57	011	2	10	1		574
58	011	2	10	6		582
59	011	2	11	0		0
60	011	2	10	2		544
61	011	2	11	0		0
62	011	2	10	2		562
63	011	2	10	2		545
64	011	2	10	0		606
65	011	2	10	2		595
66	011	2	11	0		0
67	011	2	10	4		575
68	011	2	10	6		689
69	011	2	10	7		537
70	000	2	00	3		600
70	011	2	10	4		576
71	011	2	10	6		612
72	011	2	10	4		629
73	011	2	10	1		593
74	000	2	00	5		548
74	011	2	10	6		604
75	011	2	10	3		691
76	011	2	10	0		581
77	011	2	10	5		545
78	011	2	10	0		575
79	011	2	10	2		590
80	011	2	10	3		632
81	011	2	10	4		573
82	011	2	10	4		656
83	011	2	10	1		650
84	011	2	10	6		616
85	011	2	10	4		648
86	011	2	10	4		620
87	011	2	10	2		706
88	011	2	10	0		585
89	011	2	10	4		596
90	011	2	10	7		571
91	011	2	10	3		599
92	011	2	10	1		569
93	011	2	10	6		698
94	011	2	10	3		618
95	011	2	10	7		628
96	011	2	10	7		557
97	011	2	10	7		665
98	011	2	10	1		590
99	011	2	10	0		664
100	011	2	10	2		566
101	011	2	10	3		596
102	011	2	10	6		586
103	011	2	10	6		629
104	011	2	10	4		598
105	011	2	10	0		576
106	011	2	10	2		581
107	011	2	10	7		610
108	011	2	10	2		589
109	011	2	10	4		582
110	011	2	10	4		576
111	011	2	10	4		572
112	011	2	10	3		576
113	011	2	10	6		603
114	011	2	10	3		592
115	011	2	10	2		565
116	011	2	10	5		616
117	011	2	10	4		569
118	011	2	10	1		587
119	000	2	00	0		631
119	011	2	10	1		612
120	011	2	10	5		551
121	011	2	10	7		606
122	011	2	10	3		661
123	011	2	10	0		663
124	011	2	10	2		615
125	011	2	10	7		560
126	011	2	10	1		591
127	011	2	11	0		0
128	011	2	10	4		582
129	011	2	10	7		568
130	011	2	10	1		621
131	011	2	10	1		587
132	011	2	10	5		538
133	011	2	10	2		557
134	011	2	10	7		570
135	011	2	10	0		586
136	011	2	10	0		594
137	011	2	10	0		616
138	011	2	10	0		713
139	011	2	10	4		728
140	011	2	10	0		608
141	011	2	10	7		532
142	011	2	10	1		609
143	011	2	10	4		594
144	011	2	10	7		602
145	011	2	10	6		811
146	011	2	10	6		670
147	011	2	10	6		590
148	011	2	10	5		533
149	011	2	10	5		530
150	011	2	10	4		578
151	011	2	10	2		615
152	011	2	10	4		672
153	011	2	10	1		578
154	011	2	10	2		586
155	011	2	10	4		620
156	011	2	10	7		560
157	011	2	10	1		603
158	011	2	10	2		545
159	011	2	10	6		600
160	011	2	10	4		581
161	011	2	10	2		637
162	011	2	10	2		566
163	011	2	10	4		611
164	011	2	10	6		593
165	011	2	10	4		570
166	011	2	10	7		545
167	011	2	10	6		617
168	011	2	10	2		577
169	011	2	10	1		577
170	000	2	00	0		598
170	011	2	10	1		597
171	011	2	10	4		587
172	011	2	10	1		587
173	011	2	11	0		0
174	011	2	10	2		555
175	011	2	11	0		0
176	011	2	10	2		565
177	011	2	11	0		0
178	011	2	10	2		551
179	011	2	10	2		548
180	011	2	10	6		621
181	011	2	10	4		671
182	011	2	10	6		629
183	011	2	10	7		542
184	011	2	10	6		585
185	011	2	11	0		0
186	011	2	10	4		617
187	011	2	10	3		618
188	011	2	10	1		622
189	011	2	10	7		627
190	011	2	10	5		555
191	011	2	10	3		560
192	011	2	10	0		587
193	011	2	11	0		0
194	011	2	10	0		732
195	011	2	10	4		597
196	011	2	10	5		558
197	011	2	10	6		649
198	011	2	10	0		712
199	011	2	11	0		0
200	011	2	10	0		593
201	011	2	10	2		557
202	011	2	10	5		546
203	000	2	00	2		552
203	011	2	10	6		621
204	011	2	10	0		578
205	011	2	10	0		801
206	011	2	10	0		584
207	011	2	10	4		592
208	011	2	10	4		652
209	011	2	10	5		552
210	011	2	10	0		610
211	011	2	11	0		0
212	011	2	10	4		605
213	011	2	10	4		583
214	011	2	10	2		552
215	011	2	10	4		637
216	011	2	11	0		0
217	011	2	10	7		627
218	011	2	10	0		629
219	011	2	10	4		674
220	011	2	10	2		578
221	011	2	11	0		0
222	011	2	10	4		596
223	011	2	11	0		0
224	011	2	10	6		699
225	011	2	10	0		642
226	011	2	10	2		586
227	011	2	10	0		637
228	011	2	10	1		616
229	011	2	10	2		559
230	011	2	10	4		597
231	011	2	10	4		608
232	011	2	11	0		0
233	011	2	10	2		665
234	011	2	10	6		580
235	011	2	10	1		570
236	011	2	10	3		556
237	011	2	10	6		666
238	011	2	10	5		549
239	011	2	10	4		583
240	011	2	10	1		586
241	011	2	10	6		633
242	011	2	10	2		623
243	011	2	10	7		567
244	011	2	10	5		588
245	011	2	11	0		0
246	011	2	10	4		608
247	011	2	10	7		545
248	011	2	10	0		603
249	011	2	10	1		599
250	011	2	10	2		559
251	011	2	10	2		560
252	011	2	10	5		553
253	011	2	10	4		683
254	011	2	10	6		605
255	011	2	10	1		682
256	011	2	11	0		0
257	011	2	10	0		593
258	011	2	10	6		631
259	011	2	10	7		542
260	011	2	10	0		677
261	011	2	10	1		588
262	011	2	10	7		687
263	011	2	10	4		618
264	000	2	00	1		573
264	011	2	10	7		563
265	011	2	10	2		580
266	011	2	10	4		687
267	011	2	10	1		632
268	011	2	10	4		603
269	011	2	10	0		641
270	011	2	10	5		547
271	011	2	10	6		653
272	011	2	10	4		694
273	011	2	10	3		578
274	011	2	10	6		589
275	011	2	10	6		653
276	011	2	10	1		660
277	011	2	10	4		653
278	011	2	10	2		621
279	011	2	10	0		571
280	011	2	10	4		616
281	011	2	10	4		658
282	011	2	10	4		654
283	011	2	10	0		589
284	011	2	11	0		0
285	011	2	10	1		588
286	011	2	10	1		569
287	011	2	10	0		582
288	011	2	10	1		579
289	011	2	10	3		559
290	011	2	10	3		582
291	011	2	10	0		756
292	011	2	11	0		0
293	011	2	10	1		599
294	011	2	10	1		626
295	011	2	10	5		583
296	011	2	10	4		672
297	011	2	10	1		571
298	011	2	11	0		0
299	011	2	10	0		610
300	011	2	10	1		662
301	011	2	10	2		548
302	011	2	10	6		621
303	011	2	10	0		592
304	011	2	11	0		0
305	011	2	10	4		599
306	011	2	10	7		548
307	011	2	10	2		560
308	011	2	10	1		641
309	011	2	10	0		602
310	011	2	10	3		602
311	011	2	10	6		605
312	011	2	10	4		680
313	011	2	10	4		575
314	011	2	10	0		600
315	000	2	00	6		1106
315	011	2	10	7		923
316	011	2	11	0		0
317	011	2	10	2		599
318	011	2	10	0		625
319	011	2	10	5		535
320	011	2	10	4		583
321	011	2	10	1		630
322	011	2	10	0		584
323	011	2	10	1		655
324	011	2	10	1		711
325	011	2	10	7		576
326	011	2	10	1		688
327	011	2	10	7		626
328	011	2	10	1		589
329	011	2	10	6		581
330	011	2	10	4		574
331	011	2	10	0		664
332	011	2	11	0		0
333	011	2	10	0		623
334	011	2	10	6		581
335	011	2	10	7		563
336	011	2	10	4		613
337	011	2	10	5		563
338	011	2	10	0		767
339	011	2	10	5		544
340	011	2	10	2		615
341	011	2	10	7		556
342	011	2	10	0		658
343	011	2	10	0		653
344	011	2	11	0		0
345	011	2	10	3		596
346	011	2	10	6		572
347	011	2	11	0		0
348	011	2	10	1		591
349	011	2	10	6		611
350	011	2	10	6		663
351	011	2	10	2		640
352	011	2	10	5		545
353	011	2	10	2		546
354	011	2	10	1		602
355	011	2	10	4		577
356	011	2	10	2		634
357	011	2	10	0		580
358	011	2	10	0		613
359	011	2	10	1		569
360	011	2	10	1		593
361	011	2	10	6		610
362	011	2	10	0		665
363	011	2	10	6		689
364	011	2	10	1		617
365	011	2	10	4		574
366	011	2	10	5		791
367	011	2	11	0		0
368	011	2	10	0		592
369	011	2	10	4		590
370	011	2	10	3		577
371	011	2	10	4		645
372	011	2	10	6		659
373	011	2	10	2		559
374	011	2	10	4		583
375	011	2	10	2		573
376	011	2	10	6		582
377	011	2	10	4		703
378	011	2	10	4		604
379	011	2	10	4		621
380	011	2	10	6		605
381	011	2	10	1		594
382	011	2	10	1		573
383	011	2	10	7		541
384	011	2	10	1		652
385	011	2	10	0		592
386	011	2	10	5		572
387	011	2	10	4		570
388	011	2	10	2		754
389	011	2	10	4		717
390	011	2	10	0		605
391	011	2	10	1		649
392	011	2	10	5		565
393	011	2	10	0		651
394	011	2	10	2		625
395	011	2	10	7		562
396	011	2	10	4		662
397	011	2	10	2		570
398	011	2	10	3		562
399	011	2	11	0		0
400	011	2	10	1		635
401	011	2	10	4		597
402	011	2	10	3		617
403	011	2	10	0		603
404	011	2	10	0		642
405	011	2	10	4		600
