# Acquisition started at 12/08/2022 - 12:25:43 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
0	000	2	00	0		155
0	000	2	00	1		139
0	000	2	00	2		109
0	000	2	00	3		123
0	000	2	00	4		150
0	000	2	00	5		102
0	000	2	00	6		169
0	000	2	00	7		94
0	000	2	00	8		90
0	000	2	00	9		116
0	000	2	00	10		153
0	000	2	00	11		112
0	000	2	00	12		156
0	000	2	00	13		107
0	000	2	00	14		118
0	000	2	00	15		127
0	000	2	00	16		336
0	000	2	00	17		99
0	000	2	00	18		104
0	000	2	00	19		92
0	000	2	00	20		102
0	000	2	00	21		111
0	000	2	00	22		138
0	000	2	00	23		98
0	000	2	00	24		92
0	000	2	00	25		125
0	000	2	00	26		128
0	000	2	00	27		136
0	000	2	00	28		104
0	000	2	00	29		189
0	000	2	00	30		180
0	011	2	10	31		74
1	000	2	00	0		161
1	000	2	00	1		144
1	000	2	00	2		114
1	000	2	00	3		133
1	000	2	00	4		157
1	000	2	00	5		104
1	000	2	00	6		164
1	000	2	00	7		101
1	000	2	00	8		108
1	000	2	00	9		128
1	000	2	00	10		170
1	000	2	00	11		126
1	000	2	00	12		170
1	000	2	00	13		131
1	000	2	00	14		140
1	000	2	00	15		153
1	000	2	00	16		160
1	000	2	00	17		122
1	000	2	00	18		133
1	000	2	00	19		121
1	000	2	00	20		401
1	000	2	00	21		144
1	000	2	00	22		172
1	000	2	00	23		128
1	000	2	00	24		98
1	000	2	00	25		137
1	000	2	00	26		133
1	000	2	00	27		139
1	000	2	00	28		109
1	000	2	00	29		197
1	000	2	00	30		183
1	011	2	10	31		80
2	000	2	00	0		149
2	000	2	00	1		133
2	000	2	00	2		107
2	000	2	00	3		120
2	000	2	00	4		146
2	000	2	00	5		96
2	000	2	00	6		158
2	000	2	00	7		93
2	000	2	00	8		78
2	000	2	00	9		103
2	000	2	00	10		136
2	000	2	00	11		101
2	000	2	00	12		146
2	000	2	00	13		98
2	000	2	00	14		104
2	000	2	00	15		108
2	000	2	00	16		118
2	000	2	00	17		85
2	000	2	00	18		96
2	000	2	00	19		84
2	000	2	00	20		93
2	000	2	00	21		101
2	000	2	00	22		120
2	000	2	00	23		84
2	000	2	00	24		87
2	000	2	00	25		126
2	000	2	00	26		129
2	000	2	00	27		138
2	000	2	00	28		105
2	000	2	00	29		193
2	000	2	00	30		185
2	011	2	10	31		78
3	000	2	00	0		167
3	000	2	00	1		150
3	000	2	00	2		118
3	000	2	00	3		129
3	000	2	00	4		157
3	000	2	00	5		108
3	000	2	00	6		167
3	000	2	00	7		103
3	000	2	00	8		102
3	000	2	00	9		127
3	000	2	00	10		160
3	000	2	00	11		124
3	000	2	00	12		171
3	000	2	00	13		132
3	000	2	00	14		138
3	000	2	00	15		149
3	000	2	00	16		165
3	000	2	00	17		126
3	000	2	00	18		133
3	000	2	00	19		124
3	000	2	00	20		132
3	000	2	00	21		137
3	000	2	00	22		161
3	000	2	00	23		123
3	000	2	00	24		105
3	000	2	00	25		140
3	000	2	00	26		139
3	000	2	00	27		148
3	000	2	00	28		113
3	000	2	00	29		202
3	000	2	00	30		198
3	011	2	10	31		96
4	000	2	00	0		162
4	000	2	00	1		146
4	000	2	00	2		114
4	000	2	00	3		126
4	000	2	00	4		149
4	000	2	00	5		105
4	000	2	00	6		167
4	000	2	00	7		102
4	000	2	00	8		105
4	000	2	00	9		138
4	000	2	00	10		172
4	000	2	00	11		133
4	000	2	00	12		177
4	000	2	00	13		136
4	000	2	00	14		144
4	000	2	00	15		160
4	000	2	00	16		181
4	000	2	00	17		141
4	000	2	00	18		149
4	000	2	00	19		136
4	000	2	00	20		150
4	000	2	00	21		150
4	000	2	00	22		179
4	000	2	00	23		140
4	000	2	00	24		105
4	000	2	00	25		141
4	000	2	00	26		141
4	000	2	00	27		147
4	000	2	00	28		113
4	000	2	00	29		205
4	000	2	00	30		195
4	011	2	10	31		91
5	000	2	00	0		158
5	000	2	00	1		143
5	000	2	00	2		114
5	000	2	00	3		125
5	000	2	00	4		149
5	000	2	00	5		98
5	000	2	00	6		160
5	000	2	00	7		101
5	000	2	00	8		85
5	000	2	00	9		111
5	000	2	00	10		148
5	000	2	00	11		110
5	000	2	00	12		149
5	000	2	00	13		111
5	000	2	00	14		122
5	000	2	00	15		135
5	000	2	00	16		132
5	000	2	00	17		360
5	000	2	00	18		108
5	000	2	00	19		94
5	000	2	00	20		101
5	000	2	00	21		108
5	000	2	00	22		123
5	000	2	00	23		92
5	000	2	00	24		93
5	000	2	00	25		122
5	000	2	00	26		126
5	000	2	00	27		136
5	000	2	00	28		102
5	000	2	00	29		189
5	000	2	00	30		178
5	011	2	10	31		81
6	000	2	00	0		155
6	000	2	00	1		139
6	000	2	00	2		105
6	000	2	00	3		125
6	000	2	00	4		154
6	000	2	00	5		102
6	000	2	00	6		163
6	000	2	00	7		104
6	000	2	00	8		91
6	000	2	00	9		123
6	000	2	00	10		155
6	000	2	00	11		124
6	000	2	00	12		163
6	000	2	00	13		117
6	000	2	00	14		128
6	000	2	00	15		132
6	000	2	00	16		141
6	000	2	00	17		106
6	000	2	00	18		114
6	000	2	00	19		106
6	000	2	00	20		390
6	000	2	00	21		125
6	000	2	00	22		149
6	000	2	00	23		117
6	000	2	00	24		98
6	000	2	00	25		131
6	000	2	00	26		133
6	000	2	00	27		140
6	000	2	00	28		104
6	000	2	00	29		191
6	000	2	00	30		186
6	011	2	10	31		85
7	000	2	00	0		153
7	000	2	00	1		138
7	000	2	00	2		109
7	000	2	00	3		128
7	000	2	00	4		146
7	000	2	00	5		94
7	000	2	00	6		154
7	000	2	00	7		94
7	000	2	00	8		85
7	000	2	00	9		113
7	000	2	00	10		151
7	000	2	00	11		108
7	000	2	00	12		149
7	000	2	00	13		111
7	000	2	00	14		122
7	000	2	00	15		128
7	000	2	00	16		137
7	000	2	00	17		104
7	000	2	00	18		114
7	000	2	00	19		101
7	000	2	00	20		114
7	000	2	00	21		124
7	000	2	00	22		154
7	000	2	00	23		104
7	000	2	00	24		95
7	000	2	00	25		130
7	000	2	00	26		133
7	000	2	00	27		139
7	000	2	00	28		104
7	000	2	00	29		193
7	000	2	00	30		186
7	011	2	10	31		80
8	000	2	00	0		155
8	000	2	00	1		136
8	000	2	00	2		108
8	000	2	00	3		130
8	000	2	00	4		156
8	000	2	00	5		104
8	000	2	00	6		170
8	000	2	00	7		105
8	000	2	00	8		102
8	000	2	00	9		133
8	000	2	00	10		163
8	000	2	00	11		127
8	000	2	00	12		165
8	000	2	00	13		117
8	000	2	00	14		128
8	000	2	00	15		135
8	000	2	00	16		146
8	000	2	00	17		112
8	000	2	00	18		124
8	000	2	00	19		110
8	000	2	00	20		117
8	000	2	00	21		136
8	000	2	00	22		162
8	000	2	00	23		122
8	000	2	00	24		105
8	000	2	00	25		139
8	000	2	00	26		137
8	000	2	00	27		148
8	000	2	00	28		110
8	000	2	00	29		198
8	000	2	00	30		191
8	011	2	10	31		87
9	000	2	00	0		158
9	000	2	00	1		144
9	000	2	00	2		112
9	000	2	00	3		129
9	000	2	00	4		154
9	000	2	00	5		102
9	000	2	00	6		170
9	000	2	00	7		105
9	000	2	00	8		106
9	000	2	00	9		141
9	000	2	00	10		168
9	000	2	00	11		130
9	000	2	00	12		171
9	000	2	00	13		132
9	000	2	00	14		145
9	000	2	00	15		153
9	000	2	00	16		163
9	000	2	00	17		121
9	000	2	00	18		134
9	000	2	00	19		138
9	000	2	00	20		142
9	000	2	00	21		430
9	000	2	00	22		167
9	000	2	00	23		125
9	000	2	00	24		96
9	000	2	00	25		133
9	000	2	00	26		137
9	000	2	00	27		139
9	000	2	00	28		106
9	000	2	00	29		193
9	000	2	00	30		181
9	011	2	10	31		82
10	000	2	00	0		169
10	000	2	00	1		146
10	000	2	00	2		117
10	000	2	00	3		131
10	000	2	00	4		160
10	000	2	00	5		106
10	000	2	00	6		174
10	000	2	00	7		108
10	000	2	00	8		116
10	000	2	00	9		145
10	000	2	00	10		178
10	000	2	00	11		141
10	000	2	00	12		183
10	000	2	00	13		149
10	000	2	00	14		163
10	000	2	00	15		178
10	000	2	00	16		186
10	000	2	00	17		150
10	000	2	00	18		155
10	000	2	00	19		139
10	000	2	00	20		154
10	000	2	00	21		158
10	000	2	00	22		182
10	000	2	00	23		149
10	000	2	00	24		108
10	000	2	00	25		146
10	000	2	00	26		139
10	000	2	00	27		148
10	000	2	00	28		112
10	000	2	00	29		203
10	000	2	00	30		201
10	011	2	10	31		94
11	000	2	00	0		160
11	000	2	00	1		146
11	000	2	00	2		114
11	000	2	00	3		131
11	000	2	00	4		154
11	000	2	00	5		105
11	000	2	00	6		165
11	000	2	00	7		102
11	000	2	00	8		93
11	000	2	00	9		124
11	000	2	00	10		162
11	000	2	00	11		129
11	000	2	00	12		165
11	000	2	00	13		127
11	000	2	00	14		133
11	000	2	00	15		146
11	000	2	00	16		144
11	000	2	00	17		113
11	000	2	00	18		116
11	000	2	00	19		422
11	000	2	00	20		125
11	000	2	00	21		128
11	000	2	00	22		154
11	000	2	00	23		117
11	000	2	00	24		93
11	000	2	00	25		132
11	000	2	00	26		129
11	000	2	00	27		139
11	000	2	00	28		102
11	000	2	00	29		193
11	000	2	00	30		181
11	011	2	10	31		81
12	000	2	00	0		154
12	000	2	00	1		136
12	000	2	00	2		107
12	000	2	00	3		122
12	000	2	00	4		148
12	000	2	00	5		98
12	000	2	00	6		160
12	000	2	00	7		91
12	000	2	00	8		82
12	000	2	00	9		109
12	000	2	00	10		140
12	000	2	00	11		106
12	000	2	00	12		146
12	000	2	00	13		102
12	000	2	00	14		113
12	000	2	00	15		113
12	000	2	00	16		117
12	000	2	00	17		86
12	000	2	00	18		105
12	000	2	00	19		93
12	000	2	00	20		101
12	000	2	00	21		108
12	000	2	00	22		133
12	000	2	00	23		101
12	000	2	00	24		88
12	000	2	00	25		125
12	000	2	00	26		130
12	000	2	00	27		134
12	000	2	00	28		107
12	000	2	00	29		192
12	000	2	00	30		184
12	011	2	10	31		78
13	000	2	00	0		160
13	000	2	00	1		141
13	000	2	00	2		114
13	000	2	00	3		130
13	000	2	00	4		151
13	000	2	00	5		106
13	000	2	00	6		165
13	000	2	00	7		100
13	000	2	00	8		105
13	000	2	00	9		133
13	000	2	00	10		168
13	000	2	00	11		135
13	000	2	00	12		174
13	000	2	00	13		134
13	000	2	00	14		148
13	000	2	00	15		158
13	000	2	00	16		178
13	000	2	00	17		138
13	000	2	00	18		146
13	000	2	00	19		130
13	000	2	00	20		145
13	000	2	00	21		151
13	000	2	00	22		176
13	000	2	00	23		138
13	000	2	00	24		106
13	000	2	00	25		140
13	000	2	00	26		144
13	000	2	00	27		150
13	000	2	00	28		112
13	000	2	00	29		206
13	000	2	00	30		197
13	011	2	10	31		100
14	000	2	00	0		154
14	000	2	00	1		138
14	000	2	00	2		109
14	000	2	00	3		124
14	000	2	00	4		148
14	000	2	00	5		101
14	000	2	00	6		160
14	000	2	00	7		98
14	000	2	00	8		99
14	000	2	00	9		117
14	000	2	00	10		157
14	000	2	00	11		119
14	000	2	00	12		162
14	000	2	00	13		117
14	000	2	00	14		122
14	000	2	00	15		134
14	000	2	00	16		137
14	000	2	00	17		109
14	000	2	00	18		115
14	000	2	00	19		105
14	000	2	00	20		116
14	000	2	00	21		133
14	000	2	00	22		153
14	000	2	00	23		115
14	000	2	00	24		100
14	000	2	00	25		136
14	000	2	00	26		130
14	000	2	00	27		141
14	000	2	00	28		106
14	000	2	00	29		194
14	000	2	00	30		187
14	011	2	10	31		78
15	000	2	00	0		160
15	000	2	00	1		145
15	000	2	00	2		113
15	000	2	00	3		129
15	000	2	00	4		155
15	000	2	00	5		101
15	000	2	00	6		160
15	000	2	00	7		104
15	000	2	00	8		102
15	000	2	00	9		134
15	000	2	00	10		169
15	000	2	00	11		128
15	000	2	00	12		171
15	000	2	00	13		129
15	000	2	00	14		141
15	000	2	00	15		153
15	000	2	00	16		161
15	000	2	00	17		126
15	000	2	00	18		136
15	000	2	00	19		122
15	000	2	00	20		134
15	000	2	00	21		147
15	000	2	00	22		171
15	000	2	00	23		140
15	000	2	00	24		106
15	000	2	00	25		142
15	000	2	00	26		138
15	000	2	00	27		145
15	000	2	00	28		112
15	000	2	00	29		201
15	000	2	00	30		195
15	011	2	10	31		88
16	000	2	00	0		165
16	000	2	00	1		145
16	000	2	00	2		116
16	000	2	00	3		127
16	000	2	00	4		147
16	000	2	00	5		101
16	000	2	00	6		163
16	000	2	00	7		98
16	000	2	00	8		102
16	000	2	00	9		125
16	000	2	00	10		162
16	000	2	00	11		130
16	000	2	00	12		166
16	000	2	00	13		129
16	000	2	00	14		147
16	000	2	00	15		162
16	000	2	00	16		166
16	000	2	00	17		134
16	000	2	00	18		138
16	000	2	00	19		130
16	000	2	00	20		135
16	000	2	00	21		141
16	000	2	00	22		170
16	000	2	00	23		132
16	000	2	00	24		102
16	000	2	00	25		138
16	000	2	00	26		141
16	000	2	00	27		141
16	000	2	00	28		106
16	000	2	00	29		198
16	000	2	00	30		194
16	011	2	10	31		89
17	000	2	00	0		165
17	000	2	00	1		146
17	000	2	00	2		114
17	000	2	00	3		130
17	000	2	00	4		151
17	000	2	00	5		105
17	000	2	00	6		160
17	000	2	00	7		100
17	000	2	00	8		98
17	000	2	00	9		122
17	000	2	00	10		157
17	000	2	00	11		117
17	000	2	00	12		163
17	000	2	00	13		120
17	000	2	00	14		133
17	000	2	00	15		142
17	000	2	00	16		142
17	000	2	00	17		111
17	000	2	00	18		124
17	000	2	00	19		106
17	000	2	00	20		421
17	000	2	00	21		128
17	000	2	00	22		146
17	000	2	00	23		118
17	000	2	00	24		93
17	000	2	00	25		128
17	000	2	00	26		131
17	000	2	00	27		135
17	000	2	00	28		104
17	000	2	00	29		189
17	000	2	00	30		181
17	011	2	10	31		84
18	000	2	00	0		146
18	000	2	00	1		134
18	000	2	00	2		106
18	000	2	00	3		129
18	000	2	00	4		152
18	000	2	00	5		99
18	000	2	00	6		161
18	000	2	00	7		104
18	000	2	00	8		99
18	000	2	00	9		124
18	000	2	00	10		152
18	000	2	00	11		117
18	000	2	00	12		157
18	000	2	00	13		113
18	000	2	00	14		117
18	000	2	00	15		125
18	000	2	00	16		132
18	000	2	00	17		101
18	000	2	00	18		111
18	000	2	00	19		100
18	000	2	00	20		118
18	000	2	00	21		121
18	000	2	00	22		152
18	000	2	00	23		113
18	000	2	00	24		99
18	000	2	00	25		136
18	000	2	00	26		136
18	000	2	00	27		141
18	000	2	00	28		104
18	000	2	00	29		196
18	000	2	00	30		179
18	011	2	10	31		77
19	000	2	00	0		166
19	000	2	00	1		149
19	000	2	00	2		114
19	000	2	00	3		124
19	000	2	00	4		157
19	000	2	00	5		104
19	000	2	00	6		168
19	000	2	00	7		108
19	000	2	00	8		108
19	000	2	00	9		137
19	000	2	00	10		170
19	000	2	00	11		130
19	000	2	00	12		172
19	000	2	00	13		137
19	000	2	00	14		145
19	000	2	00	15		161
19	000	2	00	16		170
19	000	2	00	17		132
19	000	2	00	18		139
19	000	2	00	19		125
19	000	2	00	20		137
19	000	2	00	21		151
19	000	2	00	22		180
19	000	2	00	23		139
19	000	2	00	24		106
19	000	2	00	25		138
19	000	2	00	26		138
19	000	2	00	27		146
19	000	2	00	28		109
19	000	2	00	29		202
19	000	2	00	30		193
19	011	2	10	31		88
20	000	2	00	0		161
20	000	2	00	1		142
20	000	2	00	2		112
20	000	2	00	3		125
20	000	2	00	4		153
20	000	2	00	5		98
20	000	2	00	6		161
20	000	2	00	7		92
20	000	2	00	8		91
20	000	2	00	9		121
20	000	2	00	10		151
20	000	2	00	11		117
20	000	2	00	12		168
20	000	2	00	13		121
20	000	2	00	14		130
20	000	2	00	15		142
20	000	2	00	16		153
20	000	2	00	17		112
20	000	2	00	18		122
20	000	2	00	19		106
20	000	2	00	20		115
20	000	2	00	21		120
20	000	2	00	22		146
20	000	2	00	23		106
20	000	2	00	24		96
20	000	2	00	25		130
20	000	2	00	26		133
20	000	2	00	27		134
20	000	2	00	28		107
20	000	2	00	29		197
20	000	2	00	30		190
20	011	2	10	31		86
21	000	2	00	0		156
21	000	2	00	1		138
21	000	2	00	2		109
21	000	2	00	3		122
21	000	2	00	4		148
21	000	2	00	5		100
21	000	2	00	6		157
21	000	2	00	7		95
21	000	2	00	8		85
21	000	2	00	9		105
21	000	2	00	10		141
21	000	2	00	11		104
21	000	2	00	12		150
21	000	2	00	13		109
21	000	2	00	14		111
21	000	2	00	15		116
21	000	2	00	16		129
21	000	2	00	17		98
21	000	2	00	18		109
21	000	2	00	19		96
21	000	2	00	20		109
21	000	2	00	21		113
21	000	2	00	22		137
21	000	2	00	23		104
21	000	2	00	24		94
21	000	2	00	25		133
21	000	2	00	26		138
21	000	2	00	27		142
21	000	2	00	28		109
21	000	2	00	29		197
21	000	2	00	30		188
21	011	2	10	31		85
22	000	2	00	0		162
22	000	2	00	1		142
22	000	2	00	2		114
22	000	2	00	3		124
22	000	2	00	4		154
22	000	2	00	5		106
22	000	2	00	6		165
22	000	2	00	7		102
22	000	2	00	8		110
22	000	2	00	9		132
22	000	2	00	10		171
22	000	2	00	11		132
22	000	2	00	12		178
22	000	2	00	13		138
22	000	2	00	14		148
22	000	2	00	15		161
22	000	2	00	16		174
22	000	2	00	17		134
22	000	2	00	18		144
22	000	2	00	19		125
22	000	2	00	20		137
22	000	2	00	21		152
22	000	2	00	22		173
22	000	2	00	23		136
22	000	2	00	24		101
22	000	2	00	25		138
22	000	2	00	26		135
22	000	2	00	27		141
22	000	2	00	28		104
22	000	2	00	29		202
22	000	2	00	30		192
22	011	2	10	31		87
23	000	2	00	0		158
23	000	2	00	1		146
23	000	2	00	2		111
23	000	2	00	3		129
23	000	2	00	4		153
23	000	2	00	5		100
23	000	2	00	6		163
23	000	2	00	7		105
23	000	2	00	8		108
23	000	2	00	9		136
23	000	2	00	10		165
23	000	2	00	11		131
23	000	2	00	12		171
23	000	2	00	13		133
23	000	2	00	14		149
23	000	2	00	15		163
23	000	2	00	16		169
23	000	2	00	17		133
23	000	2	00	18		141
23	000	2	00	19		123
23	000	2	00	20		136
23	000	2	00	21		149
23	000	2	00	22		168
23	000	2	00	23		129
23	000	2	00	24		105
23	000	2	00	25		144
23	000	2	00	26		138
23	000	2	00	27		145
23	000	2	00	28		107
23	000	2	00	29		202
23	000	2	00	30		194
23	011	2	10	31		93
24	000	2	00	0		153
24	000	2	00	1		139
24	000	2	00	2		107
24	000	2	00	3		124
24	000	2	00	4		153
24	000	2	00	5		101
24	000	2	00	6		166
24	000	2	00	7		102
24	000	2	00	8		94
24	000	2	00	9		113
24	000	2	00	10		155
24	000	2	00	11		113
24	000	2	00	12		153
24	000	2	00	13		113
24	000	2	00	14		122
24	000	2	00	15		120
24	000	2	00	16		133
24	000	2	00	17		97
24	000	2	00	18		107
24	000	2	00	19		98
24	000	2	00	20		106
24	000	2	00	21		115
24	000	2	00	22		138
24	000	2	00	23		101
24	000	2	00	24		97
24	000	2	00	25		136
24	000	2	00	26		134
24	000	2	00	27		139
24	000	2	00	28		105
24	000	2	00	29		195
24	000	2	00	30		187
24	011	2	10	31		83
25	000	2	00	0		168
25	000	2	00	1		149
25	000	2	00	2		114
25	000	2	00	3		131
25	000	2	00	4		158
25	000	2	00	5		109
25	000	2	00	6		167
25	000	2	00	7		110
25	000	2	00	8		107
25	000	2	00	9		138
25	000	2	00	10		171
25	000	2	00	11		137
25	000	2	00	12		178
25	000	2	00	13		138
25	000	2	00	14		155
25	000	2	00	15		162
25	000	2	00	16		174
25	000	2	00	17		416
25	000	2	00	18		145
25	000	2	00	19		125
25	000	2	00	20		138
25	000	2	00	21		147
25	000	2	00	22		169
25	000	2	00	23		132
25	000	2	00	24		100
25	000	2	00	25		142
25	000	2	00	26		138
25	000	2	00	27		147
25	000	2	00	28		106
25	000	2	00	29		199
25	000	2	00	30		188
25	011	2	10	31		87
26	000	2	00	0		162
26	000	2	00	1		145
26	000	2	00	2		114
26	000	2	00	3		133
26	000	2	00	4		152
26	000	2	00	5		112
26	000	2	00	6		174
26	000	2	00	7		109
26	000	2	00	8		112
26	000	2	00	9		138
26	000	2	00	10		171
26	000	2	00	11		138
26	000	2	00	12		174
26	000	2	00	13		132
26	000	2	00	14		148
26	000	2	00	15		155
26	000	2	00	16		165
26	000	2	00	17		133
26	000	2	00	18		142
26	000	2	00	19		127
26	000	2	00	20		141
26	000	2	00	21		148
26	000	2	00	22		177
26	000	2	00	23		134
26	000	2	00	24		109
26	000	2	00	25		142
26	000	2	00	26		145
26	000	2	00	27		146
26	000	2	00	28		113
26	000	2	00	29		200
26	000	2	00	30		189
26	011	2	10	31		90
27	000	2	00	0		156
27	000	2	00	1		136
27	000	2	00	2		110
27	000	2	00	3		119
27	000	2	00	4		147
27	000	2	00	5		93
27	000	2	00	6		156
27	000	2	00	7		92
27	000	2	00	8		82
27	000	2	00	9		102
27	000	2	00	10		144
27	000	2	00	11		101
27	000	2	00	12		141
27	000	2	00	13		100
27	000	2	00	14		109
27	000	2	00	15		114
27	000	2	00	16		123
27	000	2	00	17		91
27	000	2	00	18		101
27	000	2	00	19		89
27	000	2	00	20		97
27	000	2	00	21		101
27	000	2	00	22		119
27	000	2	00	23		83
27	000	2	00	24		89
27	000	2	00	25		130
27	000	2	00	26		130
27	000	2	00	27		139
27	000	2	00	28		104
27	000	2	00	29		197
27	000	2	00	30		184
27	011	2	10	31		84
28	000	2	00	0		144
28	000	2	00	1		130
28	000	2	00	2		106
28	000	2	00	3		117
28	000	2	00	4		149
28	000	2	00	5		99
28	000	2	00	6		160
28	000	2	00	7		96
28	000	2	00	8		88
28	000	2	00	9		107
28	000	2	00	10		141
28	000	2	00	11		100
28	000	2	00	12		137
28	000	2	00	13		96
28	000	2	00	14		100
28	000	2	00	15		97
28	000	2	00	16		102
28	000	2	00	17		75
28	000	2	00	18		314
28	000	2	00	19		82
28	000	2	00	20		94
28	000	2	00	21		96
28	000	2	00	22		124
28	000	2	00	23		90
28	000	2	00	24		89
28	000	2	00	25		133
28	000	2	00	26		131
28	000	2	00	27		136
28	000	2	00	28		102
28	000	2	00	29		187
28	000	2	00	30		175
28	011	2	10	31		73
29	000	2	00	0		149
29	000	2	00	1		128
29	000	2	00	2		104
29	000	2	00	3		123
29	000	2	00	4		146
29	000	2	00	5		95
29	000	2	00	6		155
29	000	2	00	7		94
29	000	2	00	8		85
29	000	2	00	9		103
29	000	2	00	10		141
29	000	2	00	11		100
29	000	2	00	12		138
29	000	2	00	13		96
29	000	2	00	14		103
29	000	2	00	15		102
29	000	2	00	16		111
29	000	2	00	17		84
29	000	2	00	18		94
29	000	2	00	19		82
29	000	2	00	20		97
29	000	2	00	21		104
29	000	2	00	22		125
29	000	2	00	23		91
29	000	2	00	24		88
29	000	2	00	25		126
29	000	2	00	26		129
29	000	2	00	27		137
29	000	2	00	28		100
29	000	2	00	29		194
29	000	2	00	30		179
29	011	2	10	31		75
30	000	2	00	0		144
30	000	2	00	1		129
30	000	2	00	2		105
30	000	2	00	3		119
30	000	2	00	4		145
30	000	2	00	5		96
30	000	2	00	6		161
30	000	2	00	7		96
30	000	2	00	8		93
30	000	2	00	9		113
30	000	2	00	10		151
30	000	2	00	11		109
30	000	2	00	12		146
30	000	2	00	13		105
30	000	2	00	14		113
30	000	2	00	15		117
30	000	2	00	16		116
30	000	2	00	17		91
30	000	2	00	18		100
30	000	2	00	19		90
30	000	2	00	20		100
30	000	2	00	21		109
30	000	2	00	22		134
30	000	2	00	23		100
30	000	2	00	24		92
30	000	2	00	25		124
30	000	2	00	26		129
30	000	2	00	27		133
30	000	2	00	28		101
30	000	2	00	29		188
30	000	2	00	30		180
30	011	2	10	31		70
31	000	2	00	0		161
31	000	2	00	1		143
31	000	2	00	2		113
31	000	2	00	3		128
31	000	2	00	4		148
31	000	2	00	5		101
31	000	2	00	6		166
31	000	2	00	7		98
31	000	2	00	8		102
31	000	2	00	9		133
31	000	2	00	10		169
31	000	2	00	11		131
31	000	2	00	12		175
31	000	2	00	13		133
31	000	2	00	14		145
31	000	2	00	15		156
31	000	2	00	16		167
31	000	2	00	17		130
31	000	2	00	18		137
31	000	2	00	19		122
31	000	2	00	20		135
31	000	2	00	21		146
31	000	2	00	22		172
31	000	2	00	23		130
31	000	2	00	24		103
31	000	2	00	25		137
31	000	2	00	26		139
31	000	2	00	27		144
