# Acquisition started at 11/08/2022 - 12:06:46 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
0	011	2	11	0		0
1	011	2	10	19		650
2	011	2	10	29		711
3	011	2	10	17		713
4	011	2	10	23		721
5	011	2	10	6		777
6	011	2	10	29		789
7	011	2	10	20		753
8	011	2	10	22		738
9	011	2	10	4		739
10	011	2	10	2		706
11	011	2	10	29		1013
12	011	2	10	5		673
13	011	2	10	0		745
14	011	2	10	0		720
15	011	2	10	22		703
16	011	2	10	13		722
17	011	2	10	11		752
18	011	2	10	4		709
19	011	2	10	27		736
20	011	2	10	22		727
21	011	2	10	1		780
22	011	2	10	10		745
23	011	2	10	4		722
24	011	2	10	10		725
25	011	2	10	21		683
26	011	2	10	4		709
27	011	2	10	31		677
28	011	2	10	21		841
29	011	2	10	5		668
30	011	2	10	30		756
31	011	2	10	26		947
32	011	2	10	0		822
33	011	2	10	6		706
34	011	2	10	30		715
35	011	2	10	21		721
36	011	2	10	22		698
37	011	2	10	17		677
38	011	2	10	5		957
39	011	2	10	19		774
40	011	2	10	22		699
41	011	2	10	30		709
42	011	2	10	21		806
43	011	2	10	0		714
44	011	2	10	22		691
45	011	2	10	30		762
46	011	2	10	6		719
47	011	2	10	30		753
48	011	2	10	30		706
49	011	2	10	18		687
50	011	2	10	22		694
51	011	2	10	4		748
52	011	2	10	14		689
53	011	2	10	14		700
54	011	2	10	0		758
55	011	2	10	15		736
56	011	2	10	24		798
57	011	2	10	3		701
58	011	2	10	30		754
59	011	2	10	15		847
60	000	2	00	0		741
60	011	2	10	1		706
61	011	2	10	30		701
62	011	2	10	1		763
63	011	2	10	26		774
64	011	2	10	22		841
65	011	2	10	10		712
66	011	2	10	18		682
67	011	2	10	7		964
68	011	2	10	15		1037
69	011	2	10	2		901
70	011	2	10	21		697
71	011	2	10	5		676
72	011	2	10	30		868
73	011	2	10	20		719
74	011	2	10	30		710
75	011	2	10	30		738
76	011	2	10	30		817
77	011	2	10	6		793
78	000	2	00	1		1112
78	011	2	10	2		865
79	011	2	10	29		739
80	011	2	10	22		725
81	011	2	10	29		725
82	000	2	00	1		703
82	011	2	10	2		912
83	011	2	10	21		835
84	011	2	10	20		727
85	011	2	10	26		690
86	011	2	10	27		720
87	011	2	10	30		809
88	011	2	10	1		756
89	011	2	10	30		757
90	011	2	10	23		914
91	011	2	10	30		847
92	011	2	10	6		771
93	011	2	10	14		692
94	011	2	10	29		758
95	011	2	10	27		747
96	011	2	10	22		706
97	011	2	10	22		757
98	011	2	10	4		881
99	011	2	10	7		685
100	011	2	10	18		762
101	011	2	10	7		671
102	011	2	10	29		727
103	000	2	00	6		718
103	011	2	10	7		665
104	011	2	10	23		748
105	011	2	10	16		709
106	011	2	10	22		696
107	011	2	10	27		740
108	011	2	10	30		712
109	011	2	10	30		699
110	011	2	10	21		729
111	011	2	10	24		750
112	011	2	10	30		700
113	011	2	10	17		721
114	011	2	10	14		710
115	011	2	10	0		708
116	011	2	10	17		697
117	011	2	10	22		698
118	000	2	00	1		886
118	011	2	10	2		720
119	011	2	10	0		711
120	011	2	10	20		702
121	011	2	10	7		699
122	011	2	10	17		715
123	011	2	10	9		727
124	011	2	10	25		698
125	011	2	10	5		726
126	011	2	10	1		734
127	011	2	10	0		708
128	011	2	10	15		714
129	011	2	10	29		826
130	011	2	10	30		749
131	011	2	10	22		740
132	011	2	10	10		725
133	011	2	10	22		713
134	011	2	10	20		710
135	011	2	10	23		1109
136	011	2	10	30		724
137	011	2	10	6		733
138	011	2	10	0		741
139	011	2	10	30		711
140	011	2	10	2		723
141	011	2	10	23		685
142	011	2	10	30		712
143	011	2	10	30		743
144	011	2	10	0		788
145	011	2	10	17		666
146	011	2	10	7		672
147	011	2	10	29		725
148	011	2	10	0		837
149	011	2	10	30		735
150	011	2	11	0		0
151	011	2	10	17		672
152	011	2	10	0		855
153	011	2	10	0		730
154	011	2	10	11		762
155	011	2	10	22		701
156	011	2	10	6		785
157	011	2	10	10		711
158	011	2	10	30		747
159	011	2	10	30		765
160	011	2	10	14		707
161	011	2	10	1		732
162	011	2	10	4		750
163	011	2	10	21		718
164	011	2	10	30		703
165	011	2	10	22		759
166	011	2	10	15		693
167	011	2	10	12		791
168	011	2	10	1		708
169	011	2	10	1		784
170	011	2	10	0		794
171	011	2	10	30		703
172	011	2	10	15		699
173	011	2	10	0		822
174	011	2	10	27		723
175	011	2	10	21		891
176	011	2	10	30		719
177	011	2	10	29		730
178	011	2	10	15		699
179	011	2	10	29		715
180	011	2	10	29		720
181	011	2	10	28		699
182	011	2	10	1		757
183	011	2	10	20		706
184	011	2	10	0		705
185	011	2	10	24		693
186	011	2	10	9		712
187	011	2	10	0		781
188	000	2	00	4		851
188	011	2	10	5		669
189	011	2	10	26		702
190	011	2	10	7		1047
191	011	2	10	30		749
192	011	2	10	21		714
193	011	2	10	12		727
194	011	2	11	0		0
195	011	2	10	0		726
196	011	2	10	14		695
197	011	2	10	30		718
198	011	2	10	22		705
199	011	2	10	2		1218
200	011	2	10	29		771
201	011	2	10	17		677
202	011	2	10	30		703
203	011	2	10	0		709
204	011	2	10	30		735
205	011	2	10	16		737
206	011	2	10	5		681
207	011	2	10	0		776
208	011	2	10	1		744
209	011	2	10	27		746
210	011	2	10	4		742
211	011	2	10	30		747
212	011	2	10	10		727
213	011	2	10	29		794
214	011	2	10	30		704
215	011	2	10	17		659
216	011	2	10	9		785
217	011	2	10	1		742
218	011	2	10	30		735
219	011	2	10	0		694
220	011	2	10	29		765
221	011	2	10	16		744
222	011	2	10	23		750
223	011	2	10	15		746
224	011	2	10	9		793
225	011	2	10	30		769
226	011	2	10	27		706
227	011	2	10	5		931
228	011	2	10	20		695
229	011	2	10	20		709
230	011	2	10	1		1093
231	011	2	10	6		744
232	011	2	10	30		702
233	011	2	10	19		684
234	011	2	10	6		714
235	011	2	10	23		732
236	011	2	10	7		666
237	011	2	10	30		741
238	011	2	10	20		694
239	011	2	10	23		740
240	011	2	10	0		696
241	011	2	10	30		704
242	011	2	10	21		700
243	011	2	10	21		705
244	011	2	10	30		850
245	011	2	11	0		0
246	011	2	10	8		726
247	011	2	10	19		662
248	011	2	10	21		711
249	011	2	10	2		703
250	011	2	10	20		714
251	011	2	10	0		729
252	011	2	10	30		744
253	011	2	10	20		1184
254	011	2	10	20		737
255	011	2	10	5		667
256	011	2	10	3		698
257	011	2	10	15		742
258	011	2	10	10		728
259	011	2	10	1		775
260	011	2	10	29		748
261	011	2	10	22		697
262	011	2	10	26		690
263	011	2	10	0		693
